SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
0,91,344987,345128,344442,382670,406898,417343,425314,440318
0,92,281389,281498,288841,289272,322982,342490,352912,360659
0,93,216978,217087,219064,238076,240184,266668,284885,293806
0,94,169449,169525,170775,176696,193865,194920,217328,233118
0,95,129717,129792,131077,135065,140683,153970,156288,174011
0,96,95223,95288,97161,101261,105420,108964,120485,122887
0,97,68138,68168,68893,73274,77156,79953,83089,92377
0,98,45900,45938,47037,50670,54509,57015,59726,61991
0,99,32266,32289,32178,33636,36779,39271,41468,43641
0,100,53364,53412,54410,57702,61821,66189,71626,76974
0,999,308745538,308758105,309346863,311718857,314102623,316427395,318907401,321418820
1,0,2014276,2014278,2018420,2028427,2007717,2009528,2020326,2035134
1,1,2030853,2030861,2020332,2025522,2035460,2015470,2018401,2029295
1,2,2092198,2092202,2088685,2026973,2032095,2042649,2023673,2026604
1,3,2104550,2104555,2101272,2094296,2032529,2038176,2049596,2030644
1,4,2077550,2077556,2084312,2106323,2099309,2038023,2044517,2055924
1,5,2072094,2072102,2076573,2089449,2111335,2104755,2044339,2050848
1,6,2075319,2075330,2079410,2081827,2094468,2116787,2111060,2050663
1,7,2057076,2057082,2063139,2084352,2086570,2099660,2122832,2117118
1,8,2065453,2065459,2054462,2067969,2088958,2091645,2105618,2128825
1,9,2119696,2119702,2107037,2059258,2072582,2094087,2097690,2111678
1,10,2135996,2136007,2142167,2111883,2063922,2077771,2100262,2103943
1,11,2103264,2103284,2104797,2147107,2116688,2069315,2084169,2106742
1,12,2100145,2100156,2103649,2109791,2151995,2122109,2075836,2090780
1,13,2104914,2104932,2104949,2108950,2114928,2157712,2128914,2082704
1,14,2135543,2135596,2122913,2110812,2114448,2121069,2164924,2136219
1,15,2177022,2177104,2170442,2129552,2116957,2121282,2129062,2172989
1,16,2216034,2216153,2215032,2179110,2137477,2125700,2131425,2139271
1,17,2263153,2263294,2252838,2226787,2189985,2149383,2139361,2145174
1,18,2305473,2305664,2305733,2266685,2239662,2204200,2165744,2156041
1,19,2341984,2342296,2334906,2321540,2281219,2254737,2221910,2184392
1,20,2308319,2308579,2331845,2349998,2337580,2295892,2271216,2240373
1,21,2223198,2223396,2241083,2345463,2368304,2353105,2312917,2290006
1,22,2177797,2178023,2188199,2253377,2362632,2385302,2370459,2331696
1,23,2140799,2141015,2151068,2199846,2269156,2378074,2402294,2387842
1,24,2164063,2164238,2161347,2161963,2214223,2282944,2393037,2417937
1,25,2161308,2161475,2177131,2171010,2175689,2226955,2296875,2407515
1,26,2097088,2097305,2102331,2185818,2183943,2187971,2240881,2310983
1,27,2140651,2140841,2135178,2110571,2197478,2196077,2201518,2254603
1,28,2118605,2118796,2134981,2142891,2121209,2208095,2208749,2214738
1,29,2117939,2118098,2112313,2142082,2153021,2131176,2219872,2221560
1,30,2160802,2160945,2167495,2118826,2151124,2162233,2142240,2231463
1,31,1988155,1988284,2026439,2173341,2126794,2159167,2171839,2152765
1,32,1994476,1994606,1986147,2031378,2180342,2134062,2167557,2181163
1,33,1936863,1936983,1963645,1990848,2037176,2186507,2141552,2175631
1,34,1916204,1916311,1908731,1967550,1996280,2042248,2192877,2148717
1,35,1980916,1981032,1974636,1912372,1972471,2000992,2047877,2199270
1,36,1890595,1890693,1907408,1977550,1916369,1976019,2005880,2053297
1,37,1953386,1953488,1934537,1909806,1981055,1919596,1979888,2010463
1,38,2049720,2049866,2028052,1936364,1912807,1983677,1923133,1983816
1,39,2167405,2167500,2148718,2029529,1938525,1915106,1986712,1926578
1,40,2191249,2191367,2189516,2148743,2030826,1939892,1917201,1989213
1,41,2047818,2047931,2073902,2188371,2149052,2031484,1941203,1919064
1,42,2028653,2028755,2031782,2072600,2187792,2148550,2032207,1942311
1,43,2035990,2036118,2030982,2030203,2071301,2186115,2147960,2032362
1,44,2090267,2090388,2074572,2028857,2028440,2069377,2184448,2147203
1,45,2237450,2237564,2201905,2071297,2026504,2025848,2067426,2182484
1,46,2230982,2231099,2238774,2197620,2067845,2023195,2023033,2064898
1,47,2238248,2238371,2237940,2233211,2192756,2063411,2019517,2019602
1,48,2237734,2237859,2235296,2230985,2226817,2186678,2058392,2015073
1,49,2264671,2264793,2262458,2227268,2223527,2219527,2180214,2052872
1,50,2300354,2300471,2290862,2253279,2218725,2214949,2211767,2173002
1,51,2190766,2190860,2209780,2280536,2242961,2208648,2205399,2202725
1,52,2207246,2207331,2197161,2198502,2268944,2231328,2197801,2195088
1,53,2141354,2141451,2170923,2184536,2186037,2256266,2219328,2186448
1,54,2093554,2093639,2091640,2157204,2171162,2172742,2242757,2206584
1,55,2073473,2073546,2075199,2077157,2142563,2156625,2158427,2228498
1,56,1956141,1956202,1984452,2059901,2061721,2126689,2140940,2143285
1,57,1905355,1905398,1909997,1968553,2043396,2045201,2109804,2124551
1,58,1834808,1834863,1838680,1893257,1951727,2025597,2027452,2092228
1,59,1753871,1753929,1779480,1821347,1875751,1933162,2006587,2009005
1,60,1745507,1745559,1742220,1761658,1803236,1856810,1913729,1987008
1,61,1679077,1679114,1691401,1724022,1742878,1783742,1836656,1893657
1,62,1712692,1712746,1679060,1672334,1704510,1722521,1762880,1815914
1,63,1672329,1672362,1753903,1658224,1652084,1683160,1701014,1741514
1,64,1267895,1267924,1291833,1730925,1636557,1629731,1660815,1679087
1,65,1273310,1273339,1272686,1273406,1706907,1612988,1606772,1637936
1,66,1248276,1248309,1239794,1253322,1254202,1680799,1588723,1583339
1,67,1248906,1248938,1270145,1218999,1232697,1233432,1652998,1562960
1,68,1087296,1087339,1105699,1246765,1196783,1210461,1211278,1623929
1,69,994759,994797,1006782,1083646,1222242,1173071,1186872,1188026
1,70,945611,945642,954073,984933,1060828,1195964,1148508,1162672
1,71,900148,900187,903258,931570,962386,1036100,1169115,1123102
1,72,853726,853749,862529,879973,908292,937925,1010582,1140651
1,73,787863,787903,794646,838124,855842,883005,912673,983641
1,74,756624,756661,758830,770000,812952,829745,856970,886092
1,75,721008,721040,725663,733013,744634,785800,802960,829659
1,76,647804,647847,653551,698486,706479,717247,757841,774758
1,77,631884,631915,630867,626566,670691,677918,689162,728549
1,78,602458,602490,602774,602303,598991,640784,648696,659853
1,79,579234,579284,573885,572606,573172,569406,610115,618087
1,80,543559,543595,549216,542181,541911,542005,539227,578240
1,81,494870,494914,496070,515668,509958,509164,510305,507988
1,82,462983,463020,462807,462441,481791,475826,476034,477629
1,83,419831,419882,422999,427992,428689,446087,441530,442175
1,84,373131,373169,375685,387649,393272,393340,410385,406633
1,85,336819,336856,337661,340757,352765,357264,358342,374382
1,86,293120,293149,295396,302902,306716,316989,322043,323518
1,87,249803,249840,253621,261735,269496,272275,282423,287383
1,88,217436,217472,216220,221791,229858,236154,239455,248876
1,89,176689,176731,180461,186135,192130,198520,204850,208085
1,90,136948,136985,141399,153032,158613,163480,169644,175479
1,91,103799,103826,104291,117729,128390,132482,137425,142870
1,92,81072,81101,83462,85352,96884,105443,109264,113834
1,93,59037,59063,60182,66909,69068,77874,85459,88660
1,94,43531,43541,43827,47166,52988,54560,61691,68135
1,95,30951,30967,31736,33613,36512,40884,42556,48015
1,96,21424,21432,22022,23801,25450,27474,31053,32585
1,97,14556,14563,14775,16115,17623,18698,20310,23092
1,98,9259,9263,9505,10554,11652,12656,13518,14719
1,99,6073,6075,6104,6606,7459,8159,8951,9577
1,100,9162,9166,9352,10146,11160,12287,13618,15088
1,999,151781326,151788777,152088043,153291772,154521077,155706770,156955337,158229297
2,0,1929877,1929882,1932910,1934660,1918823,1921613,1929449,1942904
2,1,1947217,1947229,1937556,1941029,1942479,1927402,1931375,1939269
2,2,2004731,2004737,2002177,1944592,1948000,1950071,1935991,1939979
2,3,2014490,2014496,2010648,2008174,1950628,1954558,1957483,1943417
2,4,1985620,1985630,1993239,2015971,2013540,1956426,1961199,1964111
2,5,1984764,1984770,1988080,1998260,2020907,2018871,1962561,1967310
2,6,1991062,1991082,1993603,1993166,2003137,2026129,2024870,1968544
2,7,1973503,1973512,1979907,1998873,1998343,2008689,2032494,2031242
2,8,1981033,1981038,1971142,1985234,2004219,2004066,2015285,2039062
2,9,2028657,2028667,2018378,1976452,1990570,2009985,2010659,2021886
2,10,2036545,2036552,2044895,2023730,1981857,1996340,2016680,2017346
2,11,2011151,2011159,2010714,2050365,2029312,1987837,2003233,2023586
2,12,2006098,2006105,2009630,2016326,2056014,2035367,1994846,2010241
2,13,2013099,2013123,2014717,2015269,2021755,2061882,2042116,2001602
2,14,2030439,2030463,2022701,2020689,2021012,2027897,2068915,2049167
2,15,2065798,2065842,2060560,2029389,2027062,2027839,2035734,2076753
2,16,2100105,2100158,2098220,2068334,2036902,2035192,2037134,2045025
2,17,2132142,2132181,2123529,2108189,2078089,2047458,2047152,2049112
2,18,2195382,2195450,2185272,2135893,2120208,2091111,2062176,2061954
2,19,2243250,2243405,2236505,2199119,2148993,2134246,2107128,2078192
2,20,2210810,2210977,2236672,2250427,2212409,2162825,2150114,2123067
2,21,2131096,2131207,2146873,2250703,2264588,2227025,2179456,2166784
2,22,2086845,2086923,2098806,2161923,2265827,2280663,2245270,2197776
2,23,2057772,2057844,2066160,2114925,2177680,2282730,2299862,2264424
2,24,2085300,2085371,2082255,2082592,2131182,2194862,2302374,2319408
2,25,2101042,2101108,2112297,2098904,2098816,2148386,2214495,2322049
2,26,2055217,2055293,2058475,2127925,2114333,2115377,2167162,2233433
2,27,2108218,2108291,2101848,2072852,2142580,2129882,2133288,2185163
2,28,2096644,2096706,2112560,2115196,2086191,2156902,2146491,2149931
2,29,2105137,2105194,2097973,2124462,2127241,2099212,2171916,2161579
2,30,2124866,2124932,2136744,2108562,2135227,2139100,2113094,2185746
2,31,1982063,1982132,2016077,2146177,2118163,2145568,2151378,2125468
2,32,1992371,1992435,1981455,2024567,2154670,2127378,2156394,2162451
2,33,1943287,1943335,1969936,1989151,2032191,2162905,2137112,2166123
2,34,1923012,1923061,1913458,1977044,1996181,2039715,2171871,2146121
2,35,1975518,1975593,1973699,1920135,1983482,2003257,2047905,2180134
2,36,1911492,1911543,1922791,1979512,1926096,1989836,2010831,2055478
2,37,1981059,1981105,1962229,1927969,1984875,1931976,1996862,2017940
2,38,2072160,2072223,2052176,1966855,1932785,1990182,1938503,2003325
2,39,2197391,2197449,2175745,2056136,1971037,1937394,1995795,1944284
2,40,2192025,2192083,2197964,2178924,2059522,1974777,1942194,2000626
2,41,2067167,2067224,2089576,2200499,2181324,2062408,1978607,1946164
2,42,2047451,2047505,2050930,2091373,2202297,2183459,2065491,1981947
2,43,2069115,2069167,2062862,2052204,2092791,2203951,2185890,2068346
2,44,2121229,2121296,2103936,2063717,2053204,2094057,2205835,2187962
2,45,2271418,2271480,2236654,2104140,2063886,2053608,2095203,2206861
2,46,2288779,2288842,2290942,2235941,2103336,2063540,2054118,2095675
2,47,2297017,2297079,2297533,2289236,2234300,2102379,2063366,2054083
2,48,2301062,2301109,2299367,2294985,2286811,2232309,2101346,2062616
2,49,2341230,2341267,2336640,2296017,2291692,2283785,2230032,2099680
2,50,2359941,2359986,2355369,2332408,2292024,2288007,2280640,2227286
2,51,2273865,2273919,2289194,2350587,2327601,2287431,2283994,2276939
2,52,2293600,2293632,2283423,2283723,2344784,2321828,2282387,2279256
2,53,2239000,2239038,2268480,2277403,2277408,2338484,2316102,2277046
2,54,2198445,2198481,2196807,2261745,2270454,2270517,2332003,2309943
2,55,2181236,2181263,2183771,2189509,2254181,2262891,2263429,2324887
2,56,2081372,2081399,2108684,2176129,2181585,2245814,2255009,2255835
2,57,2031031,2031052,2036521,2100466,2167709,2172840,2237219,2246694
2,58,1960120,1960152,1963767,2027962,2091634,2158434,2163908,2228294
2,59,1887398,1887420,1914774,1954730,2018833,2081989,2148934,2154665
2,60,1875624,1875655,1874501,1905438,1944959,2008611,2071869,2138784
2,61,1813519,1813542,1828708,1864418,1895023,1934041,1997711,2060944
2,62,1850490,1850514,1815999,1817226,1853126,1883175,1922402,1986021
2,63,1811555,1811581,1898264,1803145,1804628,1840490,1870596,1909879
2,64,1389236,1389270,1414222,1883450,1789241,1790730,1826744,1857069
2,65,1407451,1407476,1405839,1402505,1867842,1774132,1776052,1812107
2,66,1390865,1390900,1381541,1393042,1389840,1850722,1758337,1760795
2,67,1400459,1400488,1423562,1367303,1379305,1375958,1832243,1741227
2,68,1236376,1236397,1254117,1407341,1351886,1364040,1361081,1812428
2,69,1147565,1147584,1161048,1238279,1389829,1334673,1347423,1344721
2,70,1097510,1097536,1108504,1144774,1221299,1370476,1316930,1329818
2,71,1049175,1049204,1050349,1091402,1127733,1202733,1350590,1298089
2,72,1010549,1010575,1021291,1032444,1073402,1108773,1183363,1328954
2,73,949097,949119,955658,1002043,1013531,1053416,1089027,1162411
2,74,927863,927902,927165,935634,981707,992542,1032543,1067619
2,75,899069,899118,906215,905698,914620,959263,970796,1010164
2,76,823266,823310,828129,882883,883041,891297,935833,947283
2,77,823446,823499,818306,804295,858330,857905,866942,910536
2,78,797665,797715,799408,792288,779364,831257,831915,840960
2,79,791961,792028,781027,771114,765048,751847,803078,803984
2,80,764952,765013,770509,750270,741477,735010,723310,772956
2,81,717995,718062,716533,736823,718174,709010,704052,693056
2,82,698438,698526,695544,681499,701794,683106,675643,671319
2,83,654978,655059,658441,657386,645034,663421,647071,640387
2,84,612590,612685,611338,617772,617811,605200,623984,608958
2,85,577904,578015,577352,568677,575940,574911,564605,582641
2,86,521091,521192,526153,532075,525249,531057,531680,522563
2,87,463105,463206,467575,479816,486601,479238,486253,487256
2,88,423183,423293,420437,421475,433928,439081,433947,440879
2,89,361309,361429,365732,373964,376531,386660,392978,388762
2,90,298615,298710,306925,320846,329362,330922,341430,347555
2,91,241188,241302,240151,264941,278508,284861,287889,297448
2,92,200317,200397,205379,203920,226098,237047,243648,246825
2,93,157941,158024,158882,171167,171116,188794,199426,205146
2,94,125918,125984,126948,129530,140877,140360,155637,164983
2,95,98766,98825,99341,101452,104171,113086,113732,125996
2,96,73799,73856,75139,77460,79970,81490,89432,90302
2,97,53582,53605,54118,57159,59533,61255,62779,69285
2,98,36641,36675,37532,40116,42857,44359,46208,47272
2,99,26193,26214,26074,27030,29320,31112,32517,34064
2,100,44202,44246,45058,47556,50661,53902,58008,61886
2,999,156964212,156969328,157258820,158427085,159581546,160720625,161952064,163189523
