Title,Studio,Gross,Gross (Adjusted),Year
Superman II,Warner Bros.,108185706,338566800,1981
Love Story,Paramount,106397186,608983900,1970
Kramer Vs. Kramer,Columbia,106260000,374276100,1979
The Graduate,AVCO,104945305,744517700,1967
9 to 5,Fox,103290500,334062200,1980
Butch Cassidy and the Sundance Kid,Fox,102308889,613853300,1969
Mary Poppins,Disney,102272727,680181800,1964
Bambi,RKO,102247150,554298300,1942
Stir Crazy,Columbia,101300000,327624500,1980
Airport,Universal,100489151,575168200,1970
Saturday Night Fever,Paramount,94213184,353261200,1977
Lady and the Tramp,Disney,93602326,484893500,1955
Cinderella (1950),Disney,93141149,547050200,1950
Peter Pan,Disney,87404651,396924700,1953
Young Frankenstein,Fox,86273333,397131200,1974
The Poseidon Adventure,Fox,84563118,477647100,1972
Pinocchio,Disney,84254167,586409000,1940
M.A.S.H.,Fox,81600000,467052600,1970
A Star Is Born (1976),Warner Bros.,80000000,326760600,1976
Earthquake,Universal,79666653,366719500,1974
Fantasia,Disney,76408097,722478200,1941
Ben-Hur,MGM,74000000,852600000,1959
My Fair Lady,Warner Bros.,72000000,522000000,1964
"What's Up, Doc?",Warner Bros.,66000000,337764700,1972
The Ten Commandments,Paramount,65500000,1139700000,1956
Thunderball,UA,63595658,650760000,1965
Patton,Fox,61749765,346595500,1970
Cleopatra (1963),Fox,57777778,584496100,1963
2001: A Space Odyssey,MGM,56954992,377027700,1968
Guess Who's Coming to Dinner,Columbia,56666667,376335900,1967
Funny Girl,Columbia,52223306,348343200,1968
Sleeping Beauty,Disney,51600000,632281700,1959
Goldfinger,UA,51081062,576810000,1964
"It's a Mad, Mad, Mad, Mad World",MGM,46332858,468716100,1963
Lawrence of Arabia,Columbia,44824144,481836900,1962
West Side Story,MGM,43656822,486941500,1961
Around the World in 80 Days,UA,42000000,562153800,1956
Swiss Family Robinson,Disney,40356000,468129600,1960
Rear Window,Paramount,36764313,438086300,1954
The Robe,Fox,36000000,569454500,1953
The Greatest Show on Earth,Paramount,36000000,522000000,1952
Psycho,Universal,32000000,371200100,1960
The Bridge on the River Kwai,Columbia,27200000,473280000,1957
House of Wax,Warner Bros.,23750000,439627700,1953
The Best Years of Our Lives,RKO,23650000,478500000,1946
The Caine Mutiny,Columbia,21750000,386173500,1954
The Bells of St. Mary's,RKO,21333333,545882400,1945
Duel in the Sun,Selz.,20408163,443877500,1946
Sergeant York,Warner Bros.,16361885,418671800,1941
The Four Horsemen of the Apocalypse,MPC,9183673,399489800,1921
