Year,Age,Gender,Educational Attainment,Personal Income,Population Count
1/1/08 0:00,65 to 80+,Female,No high school diploma,"E: 25,000 to 34,999",14645
1/1/08 0:00,18 to 64,Female,No high school diploma,"G: 50,000 to 74,999",15192
1/1/08 0:00,65 to 80+,Male,No high school diploma,"E: 25,000 to 34,999",16279
1/1/08 0:00,65 to 80+,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",21902
1/1/08 0:00,65 to 80+,Male,No high school diploma,"F: 35,000 to 49,999",21985
1/1/08 0:00,65 to 80+,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",22443
1/1/08 0:00,65 to 80+,Male,Bachelor's degree or higher,"A: 0 to 4,999",25141
1/1/08 0:00,65 to 80+,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",27004
1/1/08 0:00,65 to 80+,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",27158
1/1/08 0:00,65 to 80+,Male,High school or equivalent,"G: 50,000 to 74,999",27164
1/1/08 0:00,65 to 80+,Female,High school or equivalent,"G: 50,000 to 74,999",29183
1/1/08 0:00,00 to 17,Male,No high school diploma,"B: 5,000 to 9,999",30152
1/1/08 0:00,00 to 17,Female,No high school diploma,"B: 5,000 to 9,999",33202
1/1/08 0:00,65 to 80+,Male,No high school diploma,"A: 0 to 4,999",33353
1/1/08 0:00,65 to 80+,Female,High school or equivalent,"F: 35,000 to 49,999",34003
1/1/08 0:00,65 to 80+,Female,High school or equivalent,"A: 0 to 4,999",34242
1/1/08 0:00,65 to 80+,Male,"College, less than 4-yr degree","H: 75,000 and over",34723
1/1/08 0:00,65 to 80+,Female,"College, less than 4-yr degree","H: 75,000 and over",35445
1/1/08 0:00,65 to 80+,Male,High school or equivalent,"E: 25,000 to 34,999",37651
1/1/08 0:00,65 to 80+,Female,No high school diploma,"D: 15,000 to 24,999",42275
1/1/08 0:00,65 to 80+,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",42390
1/1/08 0:00,65 to 80+,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",42705
1/1/08 0:00,65 to 80+,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",43599
1/1/08 0:00,18 to 64,Male,No high school diploma,"H: 75,000 and over",44291
1/1/08 0:00,65 to 80+,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",46427
1/1/08 0:00,65 to 80+,Male,High school or equivalent,"B: 5,000 to 9,999",46783
1/1/08 0:00,65 to 80+,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",48577
1/1/08 0:00,65 to 80+,Male,High school or equivalent,"F: 35,000 to 49,999",48804
1/1/08 0:00,65 to 80+,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",50596
1/1/08 0:00,18 to 64,Female,No high school diploma,"F: 35,000 to 49,999",51599
1/1/08 0:00,65 to 80+,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",51983
1/1/08 0:00,18 to 64,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",52069
1/1/08 0:00,65 to 80+,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",54641
1/1/08 0:00,18 to 64,Female,High school or equivalent,"H: 75,000 and over",59350
1/1/08 0:00,65 to 80+,Female,Bachelor's degree or higher,"H: 75,000 and over",60942
1/1/08 0:00,65 to 80+,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",62955
1/1/08 0:00,65 to 80+,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",64954
1/1/08 0:00,65 to 80+,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",66280
1/1/08 0:00,65 to 80+,Male,No high school diploma,"D: 15,000 to 24,999",69185
1/1/08 0:00,65 to 80+,Female,No high school diploma,"A: 0 to 4,999",69280
1/1/08 0:00,65 to 80+,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",70274
1/1/08 0:00,65 to 80+,Male,No high school diploma,"B: 5,000 to 9,999",71652
1/1/08 0:00,65 to 80+,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",73070
1/1/08 0:00,65 to 80+,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",73084
1/1/08 0:00,65 to 80+,Male,High school or equivalent,"C: 10,000 to 14,999",75602
1/1/08 0:00,65 to 80+,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",75697
1/1/08 0:00,65 to 80+,Female,High school or equivalent,"E: 25,000 to 34,999",78590
1/1/08 0:00,65 to 80+,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",82823
1/1/08 0:00,18 to 64,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",88070
1/1/08 0:00,65 to 80+,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",93823
1/1/08 0:00,18 to 64,Female,No high school diploma,"E: 25,000 to 34,999",93849
1/1/08 0:00,18 to 64,Male,Bachelor's degree or higher,"A: 0 to 4,999",94464
1/1/08 0:00,65 to 80+,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",108057
1/1/08 0:00,65 to 80+,Male,High school or equivalent,"D: 15,000 to 24,999",108184
1/1/08 0:00,18 to 64,Male,No high school diploma,"G: 50,000 to 74,999",109200
1/1/08 0:00,65 to 80+,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",120242
1/1/08 0:00,65 to 80+,Male,No high school diploma,"C: 10,000 to 14,999",124247
1/1/08 0:00,18 to 64,Female,High school or equivalent,"G: 50,000 to 74,999",131571
1/1/08 0:00,18 to 64,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",131590
1/1/08 0:00,18 to 64,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",148626
1/1/08 0:00,65 to 80+,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",149462
1/1/08 0:00,65 to 80+,Female,High school or equivalent,"C: 10,000 to 14,999",156811
1/1/08 0:00,65 to 80+,Male,Bachelor's degree or higher,"H: 75,000 and over",161013
1/1/08 0:00,18 to 64,Male,No high school diploma,"B: 5,000 to 9,999",163263
1/1/08 0:00,65 to 80+,Female,High school or equivalent,"D: 15,000 to 24,999",164592
1/1/08 0:00,18 to 64,Male,High school or equivalent,"H: 75,000 and over",175104
1/1/08 0:00,65 to 80+,Female,No high school diploma,"B: 5,000 to 9,999",178234
1/1/08 0:00,18 to 64,Female,"College, less than 4-yr degree","H: 75,000 and over",179877
1/1/08 0:00,65 to 80+,Female,No high school diploma,"C: 10,000 to 14,999",182135
1/1/08 0:00,18 to 64,Male,High school or equivalent,"B: 5,000 to 9,999",187833
1/1/08 0:00,65 to 80+,Female,High school or equivalent,"B: 5,000 to 9,999",188067
1/1/08 0:00,18 to 64,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",201443
1/1/08 0:00,18 to 64,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",211318
1/1/08 0:00,18 to 64,Male,No high school diploma,"F: 35,000 to 49,999",222761
1/1/08 0:00,18 to 64,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",224732
1/1/08 0:00,18 to 64,Female,Bachelor's degree or higher,"A: 0 to 4,999",224757
1/1/08 0:00,18 to 64,Female,No high school diploma,"C: 10,000 to 14,999",229721
1/1/08 0:00,18 to 64,Male,High school or equivalent,"C: 10,000 to 14,999",229724
1/1/08 0:00,18 to 64,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",236263
1/1/08 0:00,18 to 64,Male,"College, less than 4-yr degree","A: 0 to 4,999",237810
1/1/08 0:00,18 to 64,Female,High school or equivalent,"B: 5,000 to 9,999",241389
1/1/08 0:00,18 to 64,Female,High school or equivalent,"C: 10,000 to 14,999",241913
1/1/08 0:00,18 to 64,Female,High school or equivalent,"F: 35,000 to 49,999",249327
1/1/08 0:00,18 to 64,Female,No high school diploma,"B: 5,000 to 9,999",252509
1/1/08 0:00,18 to 64,Male,No high school diploma,"A: 0 to 4,999",261172
1/1/08 0:00,18 to 64,Female,High school or equivalent,"E: 25,000 to 34,999",293265
1/1/08 0:00,18 to 64,Male,High school or equivalent,"A: 0 to 4,999",296555
1/1/08 0:00,18 to 64,Female,No high school diploma,"D: 15,000 to 24,999",317043
1/1/08 0:00,18 to 64,Male,No high school diploma,"C: 10,000 to 14,999",317119
1/1/08 0:00,18 to 64,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",320338
1/1/08 0:00,18 to 64,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",327251
1/1/08 0:00,18 to 64,Male,No high school diploma,"E: 25,000 to 34,999",333713
1/1/08 0:00,18 to 64,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",334679
1/1/08 0:00,18 to 64,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",345723
1/1/08 0:00,18 to 64,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",345795
1/1/08 0:00,18 to 64,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",387555
1/1/08 0:00,18 to 64,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",416638
1/1/08 0:00,18 to 64,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",418686
1/1/08 0:00,18 to 64,Female,High school or equivalent,"D: 15,000 to 24,999",420710
1/1/08 0:00,18 to 64,Male,High school or equivalent,"G: 50,000 to 74,999",424046
1/1/08 0:00,18 to 64,Male,High school or equivalent,"E: 25,000 to 34,999",433340
1/1/08 0:00,18 to 64,Female,"College, less than 4-yr degree","A: 0 to 4,999",451575
1/1/08 0:00,18 to 64,Male,High school or equivalent,"F: 35,000 to 49,999",472466
1/1/08 0:00,18 to 64,Male,"College, less than 4-yr degree","H: 75,000 and over",478470
1/1/08 0:00,18 to 64,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",496456
1/1/08 0:00,18 to 64,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",497615
1/1/08 0:00,18 to 64,Male,High school or equivalent,"D: 15,000 to 24,999",501296
1/1/08 0:00,18 to 64,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",503031
1/1/08 0:00,18 to 64,Female,High school or equivalent,"A: 0 to 4,999",528876
1/1/08 0:00,18 to 64,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",536363
1/1/08 0:00,18 to 64,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",539958
1/1/08 0:00,18 to 64,Male,No high school diploma,"D: 15,000 to 24,999",573769
1/1/08 0:00,18 to 64,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",591795
1/1/08 0:00,00 to 17,Female,No high school diploma,"A: 0 to 4,999",635274
1/1/08 0:00,00 to 17,Male,No high school diploma,"A: 0 to 4,999",650889
1/1/08 0:00,18 to 64,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",690627
1/1/08 0:00,18 to 64,Female,No high school diploma,"A: 0 to 4,999",740143
1/1/08 0:00,18 to 64,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",770798
1/1/08 0:00,18 to 64,Female,Bachelor's degree or higher,"H: 75,000 and over",781211
1/1/08 0:00,18 to 64,Male,Bachelor's degree or higher,"H: 75,000 and over",1456566
1/1/09 0:00,00 to 17,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",1117
1/1/09 0:00,00 to 17,Male,High school or equivalent,"B: 5,000 to 9,999",1185
1/1/09 0:00,00 to 17,Female,High school or equivalent,"D: 15,000 to 24,999",1294
1/1/09 0:00,65 to 80+,Female,No high school diploma,"H: 75,000 and over",1398
1/1/09 0:00,00 to 17,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",1780
1/1/09 0:00,00 to 17,Female,No high school diploma,"G: 50,000 to 74,999",1797
1/1/09 0:00,00 to 17,Female,No high school diploma,"F: 35,000 to 49,999",1800
1/1/09 0:00,00 to 17,Male,No high school diploma,"E: 25,000 to 34,999",1829
1/1/09 0:00,00 to 17,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",1878
1/1/09 0:00,00 to 17,Male,High school or equivalent,"D: 15,000 to 24,999",2520
1/1/09 0:00,00 to 17,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",2754
1/1/09 0:00,00 to 17,Male,"College, less than 4-yr degree","A: 0 to 4,999",2887
1/1/09 0:00,65 to 80+,Male,No high school diploma,"H: 75,000 and over",2915
1/1/09 0:00,00 to 17,Female,High school or equivalent,"B: 5,000 to 9,999",3169
1/1/09 0:00,00 to 17,Male,No high school diploma,"D: 15,000 to 24,999",3222
1/1/09 0:00,65 to 80+,Female,No high school diploma,"F: 35,000 to 49,999",4060
1/1/09 0:00,00 to 17,Female,"College, less than 4-yr degree","A: 0 to 4,999",4408
1/1/09 0:00,65 to 80+,Male,Bachelor's degree or higher,"A: 0 to 4,999",6660
1/1/09 0:00,00 to 17,Male,No high school diploma,"C: 10,000 to 14,999",7651
1/1/09 0:00,65 to 80+,Female,No high school diploma,"G: 50,000 to 74,999",7703
1/1/09 0:00,00 to 17,Female,High school or equivalent,"A: 0 to 4,999",9209
1/1/09 0:00,65 to 80+,Female,Bachelor's degree or higher,"A: 0 to 4,999",10741
1/1/09 0:00,18 to 64,Female,No high school diploma,"H: 75,000 and over",10943
1/1/09 0:00,00 to 17,Female,No high school diploma,"C: 10,000 to 14,999",11341
1/1/09 0:00,65 to 80+,Male,High school or equivalent,"A: 0 to 4,999",11528
1/1/09 0:00,65 to 80+,Female,"College, less than 4-yr degree","A: 0 to 4,999",12106
1/1/09 0:00,65 to 80+,Male,"College, less than 4-yr degree","A: 0 to 4,999",17061
1/1/09 0:00,65 to 80+,Male,No high school diploma,"A: 0 to 4,999",18196
1/1/09 0:00,65 to 80+,Male,No high school diploma,"G: 50,000 to 74,999",18475
1/1/09 0:00,65 to 80+,Female,High school or equivalent,"H: 75,000 and over",19659
1/1/09 0:00,65 to 80+,Female,No high school diploma,"E: 25,000 to 34,999",20186
1/1/09 0:00,65 to 80+,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",23224
1/1/09 0:00,65 to 80+,Male,High school or equivalent,"H: 75,000 and over",23963
1/1/09 0:00,18 to 64,Female,No high school diploma,"G: 50,000 to 74,999",24592
1/1/09 0:00,65 to 80+,Male,No high school diploma,"F: 35,000 to 49,999",24599
1/1/09 0:00,65 to 80+,Female,High school or equivalent,"F: 35,000 to 49,999",27349
1/1/09 0:00,00 to 17,Female,No high school diploma,"B: 5,000 to 9,999",29280
1/1/09 0:00,65 to 80+,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",30456
1/1/09 0:00,18 to 64,Female,No high school diploma,"F: 35,000 to 49,999",30741
1/1/09 0:00,65 to 80+,Female,"College, less than 4-yr degree","H: 75,000 and over",33358
1/1/09 0:00,65 to 80+,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",34492
1/1/09 0:00,65 to 80+,Male,High school or equivalent,"G: 50,000 to 74,999",35227
1/1/09 0:00,65 to 80+,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",36484
1/1/09 0:00,65 to 80+,Male,High school or equivalent,"B: 5,000 to 9,999",37770
1/1/09 0:00,65 to 80+,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",39410
1/1/09 0:00,65 to 80+,Male,No high school diploma,"E: 25,000 to 34,999",41437
1/1/09 0:00,00 to 17,Male,No high school diploma,"B: 5,000 to 9,999",41863
1/1/09 0:00,65 to 80+,Female,High school or equivalent,"G: 50,000 to 74,999",42710
1/1/09 0:00,65 to 80+,Female,High school or equivalent,"A: 0 to 4,999",43907
1/1/09 0:00,18 to 64,Male,No high school diploma,"H: 75,000 and over",48803
1/1/09 0:00,65 to 80+,Male,High school or equivalent,"E: 25,000 to 34,999",50987
1/1/09 0:00,65 to 80+,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",52607
1/1/09 0:00,65 to 80+,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",55910
1/1/09 0:00,65 to 80+,Female,Bachelor's degree or higher,"H: 75,000 and over",57029
1/1/09 0:00,65 to 80+,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",57036
1/1/09 0:00,18 to 64,Female,High school or equivalent,"H: 75,000 and over",57292
1/1/09 0:00,65 to 80+,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",57811
1/1/09 0:00,65 to 80+,Male,"College, less than 4-yr degree","H: 75,000 and over",58478
1/1/09 0:00,65 to 80+,Female,High school or equivalent,"E: 25,000 to 34,999",58811
1/1/09 0:00,65 to 80+,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",58901
1/1/09 0:00,65 to 80+,Male,High school or equivalent,"F: 35,000 to 49,999",59302
1/1/09 0:00,65 to 80+,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",59529
1/1/09 0:00,65 to 80+,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",61489
1/1/09 0:00,65 to 80+,Male,High school or equivalent,"D: 15,000 to 24,999",64082
1/1/09 0:00,65 to 80+,Female,No high school diploma,"D: 15,000 to 24,999",64958
1/1/09 0:00,65 to 80+,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",68234
1/1/09 0:00,65 to 80+,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",69546
1/1/09 0:00,18 to 64,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",70367
1/1/09 0:00,65 to 80+,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",70495
1/1/09 0:00,65 to 80+,Male,High school or equivalent,"C: 10,000 to 14,999",71193
1/1/09 0:00,65 to 80+,Male,No high school diploma,"B: 5,000 to 9,999",71415
1/1/09 0:00,65 to 80+,Male,No high school diploma,"D: 15,000 to 24,999",72908
1/1/09 0:00,65 to 80+,Female,No high school diploma,"A: 0 to 4,999",73024
1/1/09 0:00,65 to 80+,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",75617
1/1/09 0:00,65 to 80+,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",76215
1/1/09 0:00,65 to 80+,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",77792
1/1/09 0:00,18 to 64,Male,No high school diploma,"G: 50,000 to 74,999",79922
1/1/09 0:00,65 to 80+,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",81764
1/1/09 0:00,18 to 64,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",84122
1/1/09 0:00,65 to 80+,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",85667
1/1/09 0:00,18 to 64,Female,No high school diploma,"E: 25,000 to 34,999",86580
1/1/09 0:00,18 to 64,Male,Bachelor's degree or higher,"A: 0 to 4,999",88688
1/1/09 0:00,65 to 80+,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",88779
1/1/09 0:00,65 to 80+,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",89119
1/1/09 0:00,65 to 80+,Male,No high school diploma,"C: 10,000 to 14,999",98666
1/1/09 0:00,65 to 80+,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",109490
1/1/09 0:00,65 to 80+,Female,High school or equivalent,"B: 5,000 to 9,999",116176
1/1/09 0:00,18 to 64,Female,High school or equivalent,"G: 50,000 to 74,999",134763
1/1/09 0:00,18 to 64,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",136360
1/1/09 0:00,65 to 80+,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",140082
1/1/09 0:00,65 to 80+,Female,No high school diploma,"C: 10,000 to 14,999",149933
1/1/09 0:00,65 to 80+,Female,High school or equivalent,"C: 10,000 to 14,999",151357
1/1/09 0:00,65 to 80+,Female,High school or equivalent,"D: 15,000 to 24,999",152036
1/1/09 0:00,18 to 64,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",160748
1/1/09 0:00,65 to 80+,Female,No high school diploma,"B: 5,000 to 9,999",178289
1/1/09 0:00,18 to 64,Male,High school or equivalent,"H: 75,000 and over",190948
1/1/09 0:00,18 to 64,Female,"College, less than 4-yr degree","H: 75,000 and over",200198
1/1/09 0:00,18 to 64,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",201713
1/1/09 0:00,18 to 64,Male,"College, less than 4-yr degree","A: 0 to 4,999",212039
1/1/09 0:00,65 to 80+,Male,Bachelor's degree or higher,"H: 75,000 and over",212440
1/1/09 0:00,18 to 64,Male,High school or equivalent,"C: 10,000 to 14,999",213345
1/1/09 0:00,18 to 64,Male,High school or equivalent,"B: 5,000 to 9,999",216871
1/1/09 0:00,18 to 64,Female,High school or equivalent,"C: 10,000 to 14,999",221787
1/1/09 0:00,18 to 64,Male,No high school diploma,"B: 5,000 to 9,999",229865
1/1/09 0:00,18 to 64,Female,High school or equivalent,"B: 5,000 to 9,999",234527
1/1/09 0:00,18 to 64,Female,High school or equivalent,"F: 35,000 to 49,999",234705
1/1/09 0:00,18 to 64,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",235730
1/1/09 0:00,18 to 64,Female,Bachelor's degree or higher,"A: 0 to 4,999",243154
1/1/09 0:00,18 to 64,Male,No high school diploma,"F: 35,000 to 49,999",247159
1/1/09 0:00,18 to 64,Female,No high school diploma,"B: 5,000 to 9,999",248027
1/1/09 0:00,18 to 64,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",251200
1/1/09 0:00,18 to 64,Female,No high school diploma,"C: 10,000 to 14,999",255296
1/1/09 0:00,18 to 64,Male,No high school diploma,"C: 10,000 to 14,999",278224
1/1/09 0:00,18 to 64,Male,No high school diploma,"A: 0 to 4,999",280947
1/1/09 0:00,18 to 64,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",288174
1/1/09 0:00,18 to 64,Male,High school or equivalent,"A: 0 to 4,999",296927
1/1/09 0:00,18 to 64,Male,No high school diploma,"E: 25,000 to 34,999",307653
1/1/09 0:00,18 to 64,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",311511
1/1/09 0:00,18 to 64,Female,High school or equivalent,"E: 25,000 to 34,999",318602
1/1/09 0:00,18 to 64,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",320129
1/1/09 0:00,18 to 64,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",345944
1/1/09 0:00,18 to 64,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",347119
1/1/09 0:00,18 to 64,Male,High school or equivalent,"G: 50,000 to 74,999",350784
1/1/09 0:00,18 to 64,Female,No high school diploma,"D: 15,000 to 24,999",359624
1/1/09 0:00,18 to 64,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",366170
1/1/09 0:00,18 to 64,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",370518
1/1/09 0:00,18 to 64,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",375408
1/1/09 0:00,18 to 64,Female,"College, less than 4-yr degree","A: 0 to 4,999",387007
1/1/09 0:00,18 to 64,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",392488
1/1/09 0:00,18 to 64,Male,High school or equivalent,"E: 25,000 to 34,999",440200
1/1/09 0:00,18 to 64,Female,High school or equivalent,"D: 15,000 to 24,999",450205
1/1/09 0:00,18 to 64,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",454455
1/1/09 0:00,18 to 64,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",459975
1/1/09 0:00,18 to 64,Male,High school or equivalent,"F: 35,000 to 49,999",481130
1/1/09 0:00,18 to 64,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",486983
1/1/09 0:00,18 to 64,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",495664
1/1/09 0:00,18 to 64,Male,High school or equivalent,"D: 15,000 to 24,999",503750
1/1/09 0:00,18 to 64,Female,High school or equivalent,"A: 0 to 4,999",519946
1/1/09 0:00,18 to 64,Male,"College, less than 4-yr degree","H: 75,000 and over",521502
1/1/09 0:00,18 to 64,Male,No high school diploma,"D: 15,000 to 24,999",534542
1/1/09 0:00,18 to 64,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",584200
1/1/09 0:00,00 to 17,Male,No high school diploma,"A: 0 to 4,999",629969
1/1/09 0:00,18 to 64,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",647024
1/1/09 0:00,00 to 17,Female,No high school diploma,"A: 0 to 4,999",648149
1/1/09 0:00,18 to 64,Female,No high school diploma,"A: 0 to 4,999",654156
1/1/09 0:00,18 to 64,Female,Bachelor's degree or higher,"H: 75,000 and over",682401
1/1/09 0:00,18 to 64,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",682775
1/1/09 0:00,18 to 64,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",767013
1/1/09 0:00,18 to 64,Male,Bachelor's degree or higher,"H: 75,000 and over",1497839
1/1/10 0:00,00 to 17,Female,High school or equivalent,"E: 25,000 to 34,999",1048
1/1/10 0:00,00 to 17,Male,Bachelor's degree or higher,"H: 75,000 and over",1192
1/1/10 0:00,00 to 17,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",1434
1/1/10 0:00,00 to 17,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",1447
1/1/10 0:00,00 to 17,Female,High school or equivalent,"C: 10,000 to 14,999",1660
1/1/10 0:00,00 to 17,Male,High school or equivalent,"C: 10,000 to 14,999",1817
1/1/10 0:00,00 to 17,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",2683
1/1/10 0:00,00 to 17,Female,Bachelor's degree or higher,"A: 0 to 4,999",2879
1/1/10 0:00,00 to 17,Female,High school or equivalent,"B: 5,000 to 9,999",3641
1/1/10 0:00,00 to 17,Male,No high school diploma,"F: 35,000 to 49,999",3642
1/1/10 0:00,65 to 80+,Female,No high school diploma,"H: 75,000 and over",4876
1/1/10 0:00,00 to 17,Male,No high school diploma,"C: 10,000 to 14,999",5345
1/1/10 0:00,00 to 17,Female,High school or equivalent,"A: 0 to 4,999",5811
