ID,Gender,Marital Status,Relationship Rating,Age,Education,Household Income,Employment Status
24,female,married,1,39,Bachelor's degree,"75,000 to 84,999",working as paid employee
25,male,partner,1,58,Associate degree,"40,000 to 49,999",not working - disabled
25,female,partner,1,55,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",not working - retired
26,male,married,1,30,High school graduate - diploma or the equivalent (GED),"25,000 to 29,999",working as paid employee
26,female,married,1,29,High school graduate - diploma or the equivalent (GED),"25,000 to 29,999",not working - other
27,male,married,2,44,Bachelor's degree,"85,000 to 99,999",working as paid employee
27,female,married,1,44,Master's degree,"85,000 to 99,999",working as paid employee
28,male,married,1,49,Associate degree,"60,000 to 74,999","working, self-employed"
28,female,married,2,49,"Some college, no degree","60,000 to 74,999",working as paid employee
29,male,partner,1,40,"Some college, no degree","150,000 to 174,999",working as paid employee
29,female,partner,2,47,Associate degree,"150,000 to 174,999",working as paid employee
30,male,married,1,46,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",working as paid employee
30,female,married,1,41,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",not working - other
31,male,married,1,32,Associate degree,"175,000 or more",working as paid employee
31,female,married,1,39,Associate degree,"175,000 or more",working as paid employee
32,male,married,1,54,Master's degree,"60,000 to 74,999",working as paid employee
32,female,married,1,56,Associate degree,"60,000 to 74,999","working, self-employed"
33,male,married,2,53,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",not working - looking for work
33,female,married,1,49,"Some college, no degree","100,000 to 124,999",working as paid employee
34,male,married,1,42,"Some college, no degree","75,000 to 84,999",working as paid employee
34,female,married,1,47,"Some college, no degree","75,000 to 84,999",working as paid employee
35,male,married,1,56,Bachelor's degree,"30,000 to 34,999",working as paid employee
35,female,married,1,59,"Some college, no degree","30,000 to 34,999","working, self-employed"
36,male,married,1,53,Master's degree,"85,000 to 99,999",working as paid employee
36,female,married,1,45,Associate degree,"85,000 to 99,999",not working - looking for work
37,male,married,1,53,Bachelor's degree,"50,000 to 59,999",working as paid employee
37,female,married,2,49,Bachelor's degree,"50,000 to 59,999","working, self-employed"
38,male,married,2,57,"Some college, no degree","175,000 or more",working as paid employee
38,female,married,1,52,"Some college, no degree","175,000 or more",working as paid employee
39,male,married,4,34,"Some college, no degree","100,000 to 124,999",working as paid employee
39,female,married,1,29,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",not working - other
40,male,married,2,64,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999","working, self-employed"
40,female,married,2,63,"Some college, no degree","60,000 to 74,999",working as paid employee
41,male,partner,1,56,"Some college, no degree","60,000 to 74,999",working as paid employee
41,female,partner,1,56,Bachelor's degree,"60,000 to 74,999","working, self-employed"
42,male,married,1,46,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",not working - disabled
42,female,married,1,51,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
43,male,married,1,58,"Some college, no degree","60,000 to 74,999",not working - retired
43,female,married,2,58,"Some college, no degree","60,000 to 74,999",not working - retired
44,male,married,1,50,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
44,female,married,1,60,"Some college, no degree","60,000 to 74,999",working as paid employee
45,male,married,2,56,High school graduate - diploma or the equivalent (GED),"10,000 to 12,499",not working - disabled
45,female,married,2,59,High school graduate - diploma or the equivalent (GED),"10,000 to 12,499",not working - disabled
46,male,married,1,49,High school graduate - diploma or the equivalent (GED),"125,000 to 149,999",working as paid employee
46,female,married,1,48,"Some college, no degree","125,000 to 149,999",working as paid employee
47,male,married,1,52,Bachelor's degree,"125,000 to 149,999",working as paid employee
47,female,married,1,50,Bachelor's degree,"125,000 to 149,999",working as paid employee
48,male,married,2,33,Bachelor's degree,"125,000 to 149,999",working as paid employee
48,female,married,1,28,Bachelor's degree,"125,000 to 149,999",working as paid employee
49,male,partner,1,55,"Some college, no degree","40,000 to 49,999",working as paid employee
49,female,partner,1,55,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",working as paid employee
50,male,married,1,61,"Some college, no degree","75,000 to 84,999",working as paid employee
50,female,married,1,62,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
51,male,married,2,57,"Some college, no degree","60,000 to 74,999",working as paid employee
51,female,married,1,56,Bachelor's degree,"60,000 to 74,999",working as paid employee
52,male,partner,4,41,"Some college, no degree","125,000 to 149,999",working as paid employee
52,female,partner,4,47,"Some college, no degree","125,000 to 149,999",working as paid employee
53,male,partner,1,27,Associate degree,"75,000 to 84,999",working as paid employee
53,female,partner,2,20,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",not working - other
54,male,married,1,59,Master's degree,"60,000 to 74,999",working as paid employee
54,female,married,1,62,Bachelor's degree,"60,000 to 74,999",working as paid employee
55,male,married,2,61,"Some college, no degree","75,000 to 84,999",working as paid employee
55,female,married,2,62,12th grade no diploma,"75,000 to 84,999",not working - retired
56,male,married,4,51,"Some college, no degree","35,000 to 39,999",not working - disabled
56,female,married,2,44,High school graduate - diploma or the equivalent (GED),"35,000 to 39,999",working as paid employee
57,male,married,1,49,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
57,female,married,1,45,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
58,male,married,1,55,Bachelor's degree,"125,000 to 149,999",working as paid employee
58,female,married,1,59,Master's degree,"125,000 to 149,999",working as paid employee
59,male,married,2,35,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",not working - on a temporary layoff from a job
59,female,married,1,34,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",working as paid employee
60,male,married,2,53,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
60,female,married,1,47,Master's degree,"75,000 to 84,999",working as paid employee
61,male,married,2,36,"Some college, no degree","85,000 to 99,999",working as paid employee
61,female,married,2,41,Master's degree,"85,000 to 99,999",working as paid employee
62,male,married,2,40,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",working as paid employee
62,female,married,1,43,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",not working - other
63,male,married,1,38,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
63,female,married,1,39,11th grade,"60,000 to 74,999",not working - other
64,male,partner,2,47,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
64,female,partner,2,45,12th grade no diploma,"100,000 to 124,999",not working - disabled
65,male,married,1,42,"Some college, no degree","85,000 to 99,999",working as paid employee
65,female,married,1,41,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
66,male,married,1,49,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
66,female,married,2,51,"Some college, no degree","60,000 to 74,999",working as paid employee
67,male,married,2,59,Associate degree,"100,000 to 124,999",working as paid employee
67,female,married,2,58,"Some college, no degree","100,000 to 124,999",working as paid employee
68,male,married,2,53,Bachelor's degree,"100,000 to 124,999",working as paid employee
68,female,married,1,53,Master's degree,"100,000 to 124,999",working as paid employee
69,male,married,1,44,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
69,female,married,1,42,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",not working - other
70,male,married,1,34,Associate degree,"75,000 to 84,999",working as paid employee
70,female,married,1,32,Master's degree,"75,000 to 84,999",working as paid employee
71,male,married,2,40,7th or 8th grade,"85,000 to 99,999",working as paid employee
71,female,married,3,34,Bachelor's degree,"85,000 to 99,999",working as paid employee
72,male,married,1,53,"Some college, no degree","85,000 to 99,999",working as paid employee
72,female,married,1,53,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",not working - other
73,male,married,1,41,Associate degree,"85,000 to 99,999",working as paid employee
73,female,married,1,39,Master's degree,"85,000 to 99,999",working as paid employee
74,male,married,1,55,Associate degree,"175,000 or more",working as paid employee
74,female,married,1,48,Master's degree,"175,000 or more",working as paid employee
75,male,partner,1,57,"Some college, no degree","75,000 to 84,999",not working - disabled
75,female,partner,1,57,"Some college, no degree","75,000 to 84,999",working as paid employee
76,male,married,2,37,Master's degree,"60,000 to 74,999",working as paid employee
76,female,married,2,36,Bachelor's degree,"60,000 to 74,999","working, self-employed"
77,male,married,1,56,"Some college, no degree","20,000 to 24,999",working as paid employee
77,female,married,3,50,"Some college, no degree","20,000 to 24,999",not working - looking for work
78,male,partner,2,44,"Some college, no degree","75,000 to 84,999",working as paid employee
78,female,partner,2,43,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
79,male,partner,1,30,Bachelor's degree,"40,000 to 49,999",not working - looking for work
79,female,partner,1,29,"Some college, no degree","40,000 to 49,999",working as paid employee
80,male,married,1,63,Bachelor's degree,"75,000 to 84,999",not working - retired
80,female,married,1,61,"Some college, no degree","75,000 to 84,999",not working - other
81,male,married,1,44,Bachelor's degree,"100,000 to 124,999",working as paid employee
81,female,married,2,36,"Some college, no degree","100,000 to 124,999",not working - other
82,male,partner,1,45,High school graduate - diploma or the equivalent (GED),"20,000 to 24,999",not working - disabled
82,female,partner,1,40,"Some college, no degree","20,000 to 24,999",working as paid employee
83,male,married,1,34,"Some college, no degree","100,000 to 124,999",working as paid employee
83,female,married,2,35,Bachelor's degree,"100,000 to 124,999",working as paid employee
84,male,partner,1,48,"Some college, no degree","85,000 to 99,999","working, self-employed"
84,female,partner,1,45,"Some college, no degree","85,000 to 99,999","working, self-employed"
85,male,married,1,39,Bachelor's degree,"100,000 to 124,999",working as paid employee
85,female,married,1,34,Professional or doctorate degree,"100,000 to 124,999",working as paid employee
86,male,married,4,38,Master's degree,"85,000 to 99,999",working as paid employee
86,female,married,4,34,Bachelor's degree,"85,000 to 99,999",working as paid employee
87,male,married,2,51,7th or 8th grade,"60,000 to 74,999",working as paid employee
87,female,married,1,51,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
88,male,married,1,42,Associate degree,"60,000 to 74,999",working as paid employee
88,female,married,1,43,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",not working - other
89,male,married,1,58,"Some college, no degree","85,000 to 99,999","working, self-employed"
89,female,married,1,57,Bachelor's degree,"85,000 to 99,999",working as paid employee
90,male,married,1,61,Professional or doctorate degree,"150,000 to 174,999",not working - retired
90,female,married,1,60,Master's degree,"150,000 to 174,999",working as paid employee
91,male,married,1,59,Bachelor's degree,"60,000 to 74,999",not working - disabled
91,female,married,1,59,Master's degree,"60,000 to 74,999",not working - retired
92,male,married,1,41,Master's degree,"175,000 or more",working as paid employee
92,female,married,1,38,Bachelor's degree,"175,000 or more",not working - other
93,male,married,1,37,Professional or doctorate degree,"175,000 or more",working as paid employee
93,female,married,1,36,Bachelor's degree,"175,000 or more",working as paid employee
94,male,married,4,39,Bachelor's degree,"85,000 to 99,999",working as paid employee
94,female,married,2,37,Associate degree,"85,000 to 99,999",working as paid employee
95,male,married,1,46,"Some college, no degree","150,000 to 174,999","working, self-employed"
95,female,married,1,44,Associate degree,"150,000 to 174,999",working as paid employee
96,male,married,1,61,Professional or doctorate degree,"100,000 to 124,999","working, self-employed"
96,female,married,2,59,Associate degree,"100,000 to 124,999",working as paid employee
97,male,married,1,55,Associate degree,"100,000 to 124,999",working as paid employee
97,female,married,1,55,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",not working - other
98,male,married,1,59,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
98,female,married,1,53,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
99,male,married,1,35,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
99,female,married,1,32,"Some college, no degree","50,000 to 59,999",not working - other
100,male,married,1,27,"Some college, no degree","60,000 to 74,999",working as paid employee
100,female,married,1,29,Associate degree,"60,000 to 74,999",working as paid employee
101,male,partner,1,61,Master's degree,"75,000 to 84,999",not working - other
101,female,partner,1,62,"Some college, no degree","75,000 to 84,999","working, self-employed"
102,male,married,1,54,Associate degree,"50,000 to 59,999","working, self-employed"
102,female,married,1,50,Associate degree,"50,000 to 59,999",working as paid employee
103,male,married,1,63,11th grade,"40,000 to 49,999",working as paid employee
103,female,married,1,61,11th grade,"40,000 to 49,999",working as paid employee
104,male,married,1,49,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
104,female,married,1,49,Professional or doctorate degree,"100,000 to 124,999","working, self-employed"
105,male,married,1,55,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999","working, self-employed"
105,female,married,1,55,Associate degree,"40,000 to 49,999","working, self-employed"
106,male,married,1,52,Bachelor's degree,"175,000 or more",working as paid employee
106,female,married,2,50,Master's degree,"175,000 or more",working as paid employee
107,male,married,1,53,High school graduate - diploma or the equivalent (GED),"25,000 to 29,999",not working - disabled
107,female,married,2,52,Associate degree,"25,000 to 29,999",not working - other
108,male,married,1,56,Associate degree,"50,000 to 59,999",working as paid employee
108,female,married,2,49,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",not working - other
109,male,married,1,50,Master's degree,"100,000 to 124,999",working as paid employee
109,female,married,1,49,Master's degree,"100,000 to 124,999",working as paid employee
110,male,married,1,56,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
110,female,married,1,51,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
111,male,married,1,54,Bachelor's degree,"100,000 to 124,999",working as paid employee
111,female,married,1,58,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",not working - retired
112,male,married,2,51,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",not working - looking for work
112,female,married,2,53,"Some college, no degree","75,000 to 84,999",working as paid employee
113,male,married,3,44,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999","working, self-employed"
113,female,married,2,38,Bachelor's degree,"40,000 to 49,999",working as paid employee
114,male,married,1,42,Associate degree,"75,000 to 84,999",working as paid employee
114,female,married,1,40,Associate degree,"75,000 to 84,999",working as paid employee
115,male,married,2,44,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
115,female,married,3,45,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
116,male,married,1,54,Associate degree,"60,000 to 74,999",working as paid employee
116,female,married,2,56,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
117,male,married,2,43,Bachelor's degree,"75,000 to 84,999","working, self-employed"
117,female,married,2,41,Master's degree,"75,000 to 84,999",working as paid employee
118,male,married,2,36,"Some college, no degree","75,000 to 84,999",working as paid employee
118,female,married,2,40,"Some college, no degree","75,000 to 84,999",not working - other
119,male,married,1,53,Master's degree,"150,000 to 174,999",working as paid employee
119,female,married,1,55,Bachelor's degree,"150,000 to 174,999",working as paid employee
120,male,married,2,40,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
120,female,married,2,36,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
121,male,married,1,52,"Some college, no degree","85,000 to 99,999",working as paid employee
121,female,married,1,43,Bachelor's degree,"85,000 to 99,999",working as paid employee
122,male,married,4,40,"Some college, no degree","25,000 to 29,999",working as paid employee
122,female,married,5,43,"Some college, no degree","25,000 to 29,999",working as paid employee
123,male,married,1,56,Bachelor's degree,"100,000 to 124,999",working as paid employee
123,female,married,1,60,Associate degree,"100,000 to 124,999",working as paid employee
124,male,married,1,52,"Some college, no degree","7,500 to 9,999",not working - disabled
124,female,married,1,48,"Some college, no degree","7,500 to 9,999",not working - other
125,male,married,5,37,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",not working - looking for work
125,female,married,5,30,"Some college, no degree","50,000 to 59,999",working as paid employee
126,male,married,1,40,Bachelor's degree,"60,000 to 74,999",working as paid employee
126,female,married,1,32,Bachelor's degree,"60,000 to 74,999",working as paid employee
127,male,married,1,30,"Some college, no degree","30,000 to 34,999",working as paid employee
127,female,married,2,26,"Some college, no degree","30,000 to 34,999","working, self-employed"
128,male,married,1,35,"Some college, no degree","60,000 to 74,999",working as paid employee
128,female,married,1,33,Associate degree,"60,000 to 74,999",working as paid employee
129,male,married,2,42,Associate degree,"25,000 to 29,999",not working - looking for work
129,female,married,1,39,"Some college, no degree","25,000 to 29,999",not working - disabled
130,male,married,1,55,"Some college, no degree","60,000 to 74,999",working as paid employee
130,female,married,1,55,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
131,male,married,2,39,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
131,female,married,1,37,"Some college, no degree","85,000 to 99,999",working as paid employee
132,male,married,1,46,Bachelor's degree,"100,000 to 124,999",working as paid employee
132,female,married,1,46,Master's degree,"100,000 to 124,999",working as paid employee
133,male,married,1,49,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
133,female,married,1,48,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",not working - retired
134,male,married,1,55,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
134,female,married,1,47,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999","working, self-employed"
135,male,married,1,55,"Some college, no degree","50,000 to 59,999",working as paid employee
135,female,married,1,49,Bachelor's degree,"50,000 to 59,999",not working - looking for work
136,male,married,1,38,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999","working, self-employed"
136,female,married,2,34,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",not working - other
137,male,married,3,43,High school graduate - diploma or the equivalent (GED),"35,000 to 39,999",working as paid employee
137,female,married,3,39,7th or 8th grade,"35,000 to 39,999",not working - looking for work
138,male,married,1,42,Bachelor's degree,"50,000 to 59,999",working as paid employee
138,female,married,1,32,Bachelor's degree,"50,000 to 59,999",working as paid employee
139,male,married,1,33,Bachelor's degree,"85,000 to 99,999",working as paid employee
139,female,married,2,31,Bachelor's degree,"85,000 to 99,999",not working - other
140,male,married,2,54,Bachelor's degree,"50,000 to 59,999",working as paid employee
140,female,married,1,52,"Some college, no degree","50,000 to 59,999",working as paid employee
141,male,married,1,56,Master's degree,"20,000 to 24,999",not working - looking for work
141,female,married,1,54,Bachelor's degree,"20,000 to 24,999",not working - looking for work
142,male,married,1,60,High school graduate - diploma or the equivalent (GED),"125,000 to 149,999",not working - retired
142,female,married,3,55,Bachelor's degree,"125,000 to 149,999",working as paid employee
143,male,married,1,46,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
143,female,married,2,46,"Some college, no degree","50,000 to 59,999",working as paid employee
144,male,married,1,26,Bachelor's degree,"50,000 to 59,999",working as paid employee
144,female,married,1,25,"Some college, no degree","50,000 to 59,999",working as paid employee
145,male,married,1,46,"Some college, no degree","50,000 to 59,999",not working - looking for work
145,female,married,2,49,"Some college, no degree","50,000 to 59,999",not working - other
146,male,married,1,54,Master's degree,"125,000 to 149,999",not working - retired
146,female,married,1,54,Associate degree,"125,000 to 149,999",working as paid employee
147,male,married,2,47,"Some college, no degree","125,000 to 149,999",working as paid employee
147,female,married,1,53,Bachelor's degree,"125,000 to 149,999",working as paid employee
148,male,married,1,46,Bachelor's degree,"100,000 to 124,999",working as paid employee
148,female,married,2,47,Master's degree,"100,000 to 124,999",working as paid employee
149,male,married,1,53,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
149,female,married,2,53,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",not working - other
150,male,partner,2,59,Bachelor's degree,"30,000 to 34,999",not working - disabled
150,female,partner,1,54,High school graduate - diploma or the equivalent (GED),"30,000 to 34,999",not working - on a temporary layoff from a job
151,male,married,4,58,Bachelor's degree,"50,000 to 59,999",working as paid employee
151,female,married,2,57,Bachelor's degree,"50,000 to 59,999",working as paid employee
152,male,married,2,38,Bachelor's degree,"85,000 to 99,999",working as paid employee
152,female,married,1,31,Associate degree,"85,000 to 99,999",not working - other
153,male,married,1,43,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
153,female,married,1,37,Associate degree,"75,000 to 84,999",not working - other
154,male,married,1,63,Associate degree,"50,000 to 59,999","working, self-employed"
154,female,married,1,61,Associate degree,"50,000 to 59,999",not working - retired
155,male,partner,1,53,Associate degree,"50,000 to 59,999",working as paid employee
155,female,partner,2,49,Bachelor's degree,"50,000 to 59,999",not working - looking for work
156,male,married,1,29,"Some college, no degree","75,000 to 84,999",working as paid employee
156,female,married,2,23,"Some college, no degree","75,000 to 84,999",working as paid employee
157,male,married,1,60,Master's degree,"75,000 to 84,999",working as paid employee
157,female,married,1,62,"Some college, no degree","75,000 to 84,999",not working - other
158,male,married,2,39,"Some college, no degree","100,000 to 124,999",working as paid employee
158,female,married,1,41,"Some college, no degree","100,000 to 124,999",working as paid employee
159,male,married,2,44,11th grade,"60,000 to 74,999",working as paid employee
159,female,married,2,39,12th grade no diploma,"60,000 to 74,999",working as paid employee
160,male,married,1,51,Master's degree,"75,000 to 84,999",working as paid employee
160,female,married,1,51,"Some college, no degree","75,000 to 84,999",not working - other
161,male,married,1,31,Associate degree,"100,000 to 124,999",working as paid employee
161,female,married,1,30,Bachelor's degree,"100,000 to 124,999","working, self-employed"
162,male,married,1,51,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
162,female,married,1,54,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",not working - other
163,male,married,1,40,Bachelor's degree,"85,000 to 99,999",working as paid employee
163,female,married,2,42,Bachelor's degree,"85,000 to 99,999",not working - other
164,male,married,2,56,High school graduate - diploma or the equivalent (GED),"20,000 to 24,999",not working - disabled
164,female,married,3,57,High school graduate - diploma or the equivalent (GED),"20,000 to 24,999","working, self-employed"
165,male,married,1,45,Bachelor's degree,"100,000 to 124,999",working as paid employee
165,female,married,1,45,Bachelor's degree,"100,000 to 124,999",working as paid employee
166,male,married,2,44,High school graduate - diploma or the equivalent (GED),"125,000 to 149,999",working as paid employee
166,female,married,2,45,High school graduate - diploma or the equivalent (GED),"125,000 to 149,999",not working - other
167,male,married,1,53,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
167,female,married,1,52,Associate degree,"75,000 to 84,999",working as paid employee
168,male,partner,1,42,"Some college, no degree","40,000 to 49,999",working as paid employee
168,female,partner,2,38,Associate degree,"40,000 to 49,999",not working - looking for work
169,male,married,2,29,Associate degree,"60,000 to 74,999",working as paid employee
169,female,married,2,30,Bachelor's degree,"60,000 to 74,999",working as paid employee
170,male,married,1,55,High school graduate - diploma or the equivalent (GED),"12,500 to 14,999",working as paid employee
170,female,married,2,63,High school graduate - diploma or the equivalent (GED),"12,500 to 14,999",working as paid employee
171,male,married,1,49,High school graduate - diploma or the equivalent (GED),"20,000 to 24,999",not working - on a temporary layoff from a job
171,female,married,1,45,Associate degree,"20,000 to 24,999",not working - other
172,male,married,1,49,"Some college, no degree","60,000 to 74,999",working as paid employee
172,female,married,2,49,Associate degree,"60,000 to 74,999",not working - other
173,male,married,1,57,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",working as paid employee
173,female,married,1,56,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",not working - retired
174,male,married,1,39,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",not working - disabled
174,female,married,1,34,Master's degree,"100,000 to 124,999",working as paid employee
175,male,married,2,56,"Some college, no degree","30,000 to 34,999","working, self-employed"
175,female,married,2,55,"Some college, no degree","30,000 to 34,999",working as paid employee
176,male,married,1,60,"Some college, no degree","50,000 to 59,999",working as paid employee
176,female,married,1,60,"Some college, no degree","50,000 to 59,999",working as paid employee
177,male,married,2,52,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999","working, self-employed"
177,female,married,1,46,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
178,male,married,2,39,Master's degree,"40,000 to 49,999",working as paid employee
178,female,married,2,42,Bachelor's degree,"40,000 to 49,999",not working - other
179,male,married,1,28,Bachelor's degree,"60,000 to 74,999",working as paid employee
