hh_id,gender,mar_status,rel_rating,age,education,hh_income,empl_status,hh_internet
47,1,1,1,52,12,17,1,1
47,2,1,1,50,12,17,1,1
48,1,1,2,33,12,17,1,1
48,2,1,1,28,12,17,1,1
49,1,2,1,55,10,11,1,1
49,2,2,1,55,9,11,1,1
50,1,1,1,61,10,14,1,1
50,2,1,1,62,9,14,1,1
51,1,1,2,57,10,13,1,1
51,2,1,1,56,12,13,1,1
52,1,2,4,41,10,17,1,1
52,2,2,4,47,10,17,1,1
53,1,2,1,27,11,14,1,1
53,2,2,2,20,9,14,7,1
54,1,1,1,59,13,13,1,0
54,2,1,1,62,12,13,1,0
55,1,1,2,61,10,14,1,1
55,2,1,2,62,8,14,5,1
56,1,1,4,51,10,10,6,1
56,2,1,2,44,9,10,1,1
57,1,1,1,49,9,14,1,1
57,2,1,1,45,9,14,1,1
58,1,1,1,55,12,17,1,1
58,2,1,1,59,13,17,1,1
59,1,1,2,35,9,11,3,1
59,2,1,1,34,9,11,1,1
60,1,1,2,53,9,14,1,1
60,2,1,1,47,13,14,1,1
61,1,1,2,36,10,15,1,1
61,2,1,2,41,13,15,1,1
62,1,1,2,40,9,11,1,1
62,2,1,1,43,9,11,7,1
63,1,1,1,38,9,13,1,1
63,2,1,1,39,7,13,7,1
64,1,2,2,47,9,16,1,1
64,2,2,2,45,8,16,6,1
65,1,1,1,42,10,15,1,1
65,2,1,1,41,9,15,1,1
66,1,1,1,49,9,13,1,1
66,2,1,2,51,10,13,1,1
67,1,1,2,59,11,16,1,1
67,2,1,2,58,10,16,1,1
68,1,1,2,53,12,16,1,1
68,2,1,1,53,13,16,1,1
69,1,1,1,44,9,15,1,1
69,2,1,1,42,9,15,7,1
70,1,1,1,34,11,14,1,1
70,2,1,1,32,13,14,1,1
71,1,1,2,40,4,15,1,1
71,2,1,3,34,12,15,1,1
72,1,1,1,53,10,15,1,1
72,2,1,1,53,9,15,7,1
73,1,1,1,41,11,15,1,1
73,2,1,1,39,13,15,1,1
74,1,1,1,55,11,19,1,1
74,2,1,1,48,13,19,1,1
75,1,2,1,57,10,14,6,1
75,2,2,1,57,10,14,1,1
76,1,1,2,37,13,13,1,1
76,2,1,2,36,12,13,2,1
77,1,1,1,56,10,7,1,1
77,2,1,3,50,10,7,4,1
78,1,2,2,44,10,14,1,1
78,2,2,2,43,9,14,1,1
79,1,2,1,30,12,11,4,1
79,2,2,1,29,10,11,1,1
80,1,1,1,63,12,14,5,1
80,2,1,1,61,10,14,7,1
81,1,1,1,44,12,16,1,1
81,2,1,2,36,10,16,7,1
82,1,2,1,45,9,7,6,1
82,2,2,1,40,10,7,1,1
83,1,1,1,34,10,16,1,1
83,2,1,2,35,12,16,1,1
84,1,2,1,48,10,15,2,1
84,2,2,1,45,10,15,2,1
85,1,1,1,39,12,16,1,1
85,2,1,1,34,14,16,1,1
86,1,1,4,38,13,15,1,1
86,2,1,4,34,12,15,1,1
87,1,1,2,51,4,13,1,1
87,2,1,1,51,9,13,1,1
88,1,1,1,42,11,13,1,1
88,2,1,1,43,9,13,7,1
89,1,1,1,58,10,15,2,1
89,2,1,1,57,12,15,1,1
90,1,1,1,61,14,18,5,1
90,2,1,1,60,13,18,1,1
91,1,1,1,59,12,13,6,1
91,2,1,1,59,13,13,5,1
92,1,1,1,41,13,19,1,1
92,2,1,1,38,12,19,7,1
93,1,1,1,37,14,19,1,1
93,2,1,1,36,12,19,1,1
94,1,1,4,39,12,15,1,1
94,2,1,2,37,11,15,1,1
95,1,1,1,46,10,18,2,1
95,2,1,1,44,11,18,1,1
96,1,1,1,61,14,16,2,1
96,2,1,2,59,11,16,1,1
97,1,1,1,55,11,16,1,1
97,2,1,1,55,9,16,7,1
98,1,1,1,59,9,16,1,1
98,2,1,1,53,9,16,1,1
99,1,1,1,35,9,12,1,1
99,2,1,1,32,10,12,7,1
100,1,1,1,27,10,13,1,1
100,2,1,1,29,11,13,1,1
101,1,2,1,61,13,14,7,1
101,2,2,1,62,10,14,2,1
102,1,1,1,54,11,12,2,1
102,2,1,1,50,11,12,1,1
103,1,1,1,63,7,11,1,1
103,2,1,1,61,7,11,1,1
104,1,1,1,49,9,16,1,1
104,2,1,1,49,14,16,2,1
105,1,1,1,55,9,11,2,1
105,2,1,1,55,11,11,2,1
106,1,1,1,52,12,19,1,1
106,2,1,2,50,13,19,1,1
107,1,1,1,53,9,8,6,1
107,2,1,2,52,11,8,7,1
108,1,1,1,56,11,12,1,1
108,2,1,2,49,9,12,7,1
109,1,1,1,50,13,16,1,1
109,2,1,1,49,13,16,1,1
110,1,1,1,56,9,12,1,1
110,2,1,1,51,9,12,1,1
111,1,1,1,54,12,16,1,1
111,2,1,1,58,9,16,5,1
112,1,1,2,51,9,14,4,1
112,2,1,2,53,10,14,1,1
113,1,1,3,44,9,11,2,1
113,2,1,2,38,12,11,1,1
114,1,1,1,42,11,14,1,1
114,2,1,1,40,11,14,1,1
115,1,1,2,44,9,16,1,1
115,2,1,3,45,9,16,1,1
116,1,1,1,54,11,13,1,1
116,2,1,2,56,9,13,1,1
117,1,1,2,43,12,14,2,1
117,2,1,2,41,13,14,1,1
118,1,1,2,36,10,14,1,1
118,2,1,2,40,10,14,7,1
119,1,1,1,53,13,18,1,1
119,2,1,1,55,12,18,1,1
120,1,1,2,40,9,12,1,1
120,2,1,2,36,9,12,1,1
121,1,1,1,52,10,15,1,1
121,2,1,1,43,12,15,1,1
122,1,1,4,40,10,8,1,1
122,2,1,5,43,10,8,1,1
123,1,1,1,56,12,16,1,1
123,2,1,1,60,11,16,1,1
124,1,1,1,52,10,3,6,1
124,2,1,1,48,10,3,7,1
125,1,1,5,37,9,12,4,1
125,2,1,5,30,10,12,1,1
126,1,1,1,40,12,13,1,1
126,2,1,1,32,12,13,1,1
127,1,1,1,30,10,9,1,1
127,2,1,2,26,10,9,2,1
128,1,1,1,35,10,13,1,1
128,2,1,1,33,11,13,1,1
129,1,1,2,42,11,8,4,1
129,2,1,1,39,10,8,6,1
130,1,1,1,55,10,13,1,1
130,2,1,1,55,9,13,1,1
131,1,1,2,39,9,15,1,1
131,2,1,1,37,10,15,1,1
132,1,1,1,46,12,16,1,1
132,2,1,1,46,13,16,1,1
133,1,1,1,49,9,15,1,1
133,2,1,1,48,9,15,5,1
134,1,1,1,55,9,14,1,1
134,2,1,1,47,9,14,2,1
135,1,1,1,55,10,12,1,1
135,2,1,1,49,12,12,4,1
136,1,1,1,38,9,13,2,1
136,2,1,2,34,9,13,7,1
137,1,1,3,43,9,10,1,1
137,2,1,3,39,4,10,4,1
138,1,1,1,42,12,12,1,1
138,2,1,1,32,12,12,1,1
139,1,1,1,33,12,15,1,1
139,2,1,2,31,12,15,7,1
140,1,1,2,54,12,12,1,1
140,2,1,1,52,10,12,1,1
141,1,1,1,56,13,7,4,1
141,2,1,1,54,12,7,4,1
142,1,1,1,60,9,17,5,1
142,2,1,3,55,12,17,1,1
143,1,1,1,46,9,12,1,1
143,2,1,2,46,10,12,1,1
144,1,1,1,26,12,12,1,1
144,2,1,1,25,10,12,1,1
145,1,1,1,46,10,12,4,1
145,2,1,2,49,10,12,7,1
146,1,1,1,54,13,17,5,1
146,2,1,1,54,11,17,1,1
147,1,1,2,47,10,17,1,1
147,2,1,1,53,12,17,1,1
148,1,1,1,46,12,16,1,1
148,2,1,2,47,13,16,1,1
149,1,1,1,53,9,13,1,1
149,2,1,2,53,9,13,7,1
150,1,2,2,59,12,9,6,0
150,2,2,1,54,9,9,3,0
151,1,1,4,58,12,12,1,1
151,2,1,2,57,12,12,1,1
152,1,1,2,38,12,15,1,1
152,2,1,1,31,11,15,7,1
153,1,1,1,43,9,14,1,1
153,2,1,1,37,11,14,7,1
154,1,1,1,63,11,12,2,1
154,2,1,1,61,11,12,5,1
155,1,2,1,53,11,12,1,1
155,2,2,2,49,12,12,4,1
156,1,1,1,29,10,14,1,1
156,2,1,2,23,10,14,1,1
157,1,1,1,60,13,14,1,1
157,2,1,1,62,10,14,7,1
158,1,1,2,39,10,16,1,1
158,2,1,1,41,10,16,1,1
159,1,1,2,44,7,13,1,1
159,2,1,2,39,8,13,1,1
160,1,1,1,51,13,14,1,0
160,2,1,1,51,10,14,7,0
161,1,1,1,31,11,16,1,1
161,2,1,1,30,12,16,2,1
162,1,1,1,51,9,12,1,1
162,2,1,1,54,9,12,7,1
163,1,1,1,40,12,15,1,1
163,2,1,2,42,12,15,7,1
164,1,1,2,56,9,7,6,1
164,2,1,3,57,9,7,2,1
165,1,1,1,45,12,16,1,1
165,2,1,1,45,12,16,1,1
166,1,1,2,44,9,17,1,1
166,2,1,2,45,9,17,7,1
167,1,1,1,53,9,14,1,1
167,2,1,1,52,11,14,1,1
168,1,2,1,42,10,11,1,1
168,2,2,2,38,11,11,4,1
169,1,1,2,29,11,13,1,1
169,2,1,2,30,12,13,1,1
170,1,1,1,55,9,5,1,1
170,2,1,2,63,9,5,1,1
171,1,1,1,49,9,7,3,1
171,2,1,1,45,11,7,7,1
172,1,1,1,49,10,13,1,1
172,2,1,2,49,11,13,7,1
173,1,1,1,57,9,11,1,1
173,2,1,1,56,9,11,5,1
174,1,1,1,39,9,16,6,1
174,2,1,1,34,13,16,1,1
175,1,1,2,56,10,9,2,1
175,2,1,2,55,10,9,1,1
176,1,1,1,60,10,12,1,1
176,2,1,1,60,10,12,1,1
177,1,1,2,52,9,16,2,1
177,2,1,1,46,9,16,1,1
178,1,1,2,39,13,11,1,1
178,2,1,2,42,12,11,7,1
179,1,1,1,28,12,13,1,1
179,2,1,2,27,10,13,2,1
180,1,1,1,57,12,16,5,1
180,2,1,2,63,14,16,1,1
181,1,1,1,56,9,16,6,1
181,2,1,2,48,11,16,1,1
182,1,2,1,55,10,17,2,1
182,2,2,1,54,9,17,1,1
183,1,1,1,48,10,11,6,0
183,2,1,1,55,9,11,6,0
184,1,1,1,62,12,8,1,0
184,2,1,1,58,10,8,7,0
185,1,1,2,35,13,14,1,1
185,2,1,1,34,12,14,7,1
186,1,1,2,38,11,13,1,1
186,2,1,1,38,14,13,7,1
187,1,1,1,36,9,15,1,1
187,2,1,1,37,10,15,1,1
188,1,1,3,40,13,18,1,1
188,2,1,1,41,12,18,1,1
189,1,1,1,57,12,15,1,1
189,2,1,1,55,12,15,1,1
190,1,1,1,43,13,16,1,1
190,2,1,1,42,13,16,7,1
191,1,1,1,29,10,7,7,1
191,2,1,1,30,12,7,7,1
192,1,1,1,55,11,13,1,1
192,2,1,1,55,9,13,1,1
193,1,1,1,61,11,16,2,1
193,2,1,1,59,10,16,1,1
194,1,1,1,60,9,18,5,1
194,2,1,1,63,9,18,3,1
195,1,1,1,48,12,12,1,0
195,2,1,1,48,12,12,7,0
196,1,1,1,40,14,12,1,1
196,2,1,1,38,14,12,7,1
197,1,1,1,51,10,13,1,1
197,2,1,1,59,11,13,5,1
198,1,1,2,58,9,14,1,1
198,2,1,2,56,10,14,6,1
199,1,1,2,32,12,15,1,1
199,2,1,1,29,12,15,4,1
200,1,1,2,53,10,7,6,1
200,2,1,2,51,7,7,7,1
201,1,1,1,54,13,19,1,1
201,2,1,1,52,10,19,1,1
202,1,1,1,41,9,8,6,1
202,2,1,2,43,10,8,1,1
203,1,1,1,31,11,16,1,1
203,2,1,1,31,11,16,1,1
204,1,1,2,40,5,12,1,1
204,2,1,2,48,10,12,7,1
205,1,1,2,63,4,5,7,1
205,2,1,2,61,9,5,6,1
206,1,1,2,48,9,11,3,1
206,2,1,2,48,10,11,1,1
207,1,1,2,60,7,7,3,0
207,2,1,1,53,9,7,6,0
208,1,1,1,38,11,14,1,1
208,2,1,2,38,12,14,2,1
209,1,1,4,51,12,11,2,1
209,2,1,4,48,11,11,2,1
210,1,1,1,64,10,15,5,1
210,2,1,1,58,10,15,7,1
211,1,1,2,43,10,14,2,1
211,2,1,2,41,11,14,1,1
212,1,1,2,35,12,8,3,1
212,2,1,2,35,12,8,4,1
213,1,1,1,58,13,16,5,1
213,2,1,1,54,12,16,5,1
214,1,1,1,55,14,14,1,1
214,2,1,1,46,12,14,7,1
215,1,1,2,58,12,18,1,1
215,2,1,1,55,9,18,1,1
216,1,1,1,37,13,19,1,1
216,2,1,1,34,12,19,1,1
217,1,1,1,43,11,11,1,0
217,2,1,1,38,3,11,7,0
218,1,1,1,54,10,6,6,1
218,2,1,1,45,6,6,1,1
219,1,1,1,54,12,15,1,1
219,2,1,1,53,12,15,7,1
220,1,2,5,62,10,12,1,1
220,2,2,2,58,11,12,1,1
221,1,2,4,27,9,14,4,1
221,2,2,5,29,10,14,1,1
222,1,1,1,53,9,6,6,1
222,2,1,1,57,9,6,1,1
223,1,1,1,62,12,13,2,1
223,2,1,1,62,11,13,1,1
224,1,1,1,37,13,15,1,1
224,2,1,2,38,10,15,7,1
225,1,1,1,57,2,4,6,1
225,2,1,2,53,9,4,6,1
226,1,1,1,33,13,16,1,1
226,2,1,2,31,12,16,7,1
227,1,1,1,33,13,11,7,1
227,2,1,1,30,14,11,1,1
228,1,1,2,39,9,8,1,1
228,2,1,2,38,10,8,1,1
229,1,1,1,53,9,13,1,1
229,2,1,1,49,9,13,2,1
230,1,1,1,43,13,17,1,1
230,2,1,2,40,12,17,1,1
231,1,2,2,55,6,7,1,0
231,2,2,2,47,9,7,7,0
232,1,1,1,39,14,19,1,1
232,2,1,1,38,12,19,1,1
233,1,1,1,53,12,14,1,1
233,2,1,1,54,13,14,1,1
234,1,1,2,31,12,11,1,1
234,2,1,2,30,9,11,1,1
235,1,1,1,39,12,15,1,1
235,2,1,1,38,11,15,7,1
236,1,1,1,43,9,16,2,1
236,2,1,1,44,9,16,7,1
237,1,1,1,57,10,15,1,1
237,2,1,1,55,9,15,7,1
238,1,1,2,46,10,18,1,1
238,2,1,1,51,13,18,1,1
239,1,1,2,54,9,14,1,1
239,2,1,2,54,9,14,2,1
240,1,2,1,33,12,15,1,1
240,2,2,1,32,11,15,1,1
241,1,2,3,52,9,8,1,0
241,2,2,3,53,9,8,1,0
242,1,1,2,63,13,16,5,1
242,2,1,2,63,13,16,5,1
243,1,1,2,40,12,14,1,1
243,2,1,1,36,10,14,7,1
244,1,1,1,60,13,15,1,1
244,2,1,1,56,12,15,7,1
245,1,1,1,52,11,16,1,1
245,2,1,1,52,13,16,1,1
246,1,1,1,45,9,15,1,1
246,2,1,1,43,12,15,7,1
247,1,1,1,56,13,17,1,1
247,2,1,1,57,10,17,2,1
248,1,1,1,47,9,7,2,1
248,2,1,1,38,9,7,2,1
249,1,1,2,46,9,16,2,1
249,2,1,1,43,9,16,7,1
250,1,2,3,43,9,7,2,1
250,2,2,3,40,9,7,6,1
251,1,1,1,55,10,15,2,1
251,2,1,2,55,9,15,1,1
252,1,1,1,61,5,6,6,1
252,2,1,1,55,9,6,6,1
253,1,1,2,53,10,19,1,1
253,2,1,1,44,13,19,1,1
254,1,1,1,33,11,15,1,1
254,2,1,1,28,10,15,1,1
255,1,1,1,43,11,17,1,1
255,2,1,1,43,13,17,1,1
256,1,1,3,41,12,12,1,1
256,2,1,1,39,12,12,6,1
257,1,1,1,41,10,15,1,1
257,2,1,2,34,11,15,7,1
258,1,1,1,34,10,15,1,1
258,2,1,2,34,12,15,1,1
259,1,1,1,57,12,18,5,1
259,2,1,1,52,10,18,7,1
260,1,2,1,47,13,10,2,1
260,2,2,1,42,12,10,2,1
261,1,1,1,55,13,19,2,1
261,2,1,1,51,11,19,1,1
262,1,1,1,44,12,17,2,1
262,2,1,2,34,11,17,2,1
263,1,1,2,39,12,13,1,1
263,2,1,1,37,12,13,1,1
264,1,2,2,51,9,13,1,1
264,2,2,1,53,11,13,1,1
265,1,1,1,38,10,15,2,1
265,2,1,2,31,9,15,6,1
266,1,1,2,48,9,13,1,1
266,2,1,2,48,10,13,1,1
267,1,1,2,48,13,18,1,1
267,2,1,2,38,12,18,1,1
268,1,1,1,51,13,17,1,1
268,2,1,1,51,13,17,1,1
269,1,1,1,53,9,12,2,1
269,2,1,1,48,9,12,1,1
270,1,1,1,58,10,16,2,1
270,2,1,1,56,13,16,1,1
271,1,1,1,45,9,16,1,1
271,2,1,1,46,9,16,1,1
272,1,2,2,62,13,19,1,1
272,2,2,2,52,13,19,1,1
273,1,1,2,42,13,17,1,1
273,2,1,1,41,12,17,1,1
274,1,1,2,63,13,13,5,1
274,2,1,2,64,13,13,5,1
275,1,1,1,51,9,12,4,1
275,2,1,1,55,11,12,4,1
276,1,1,1,60,9,8,1,1
276,2,1,1,59,10,8,1,1
277,1,1,1,64,14,19,1,1
277,2,1,1,60,11,19,1,1
278,1,1,2,57,11,3,5,1
278,2,1,4,53,9,3,5,1
279,1,1,1,63,9,12,5,1
279,2,1,2,63,9,12,5,1
280,1,2,2,21,8,14,2,1
280,2,2,2,19,10,14,3,1
281,1,1,2,53,9,8,6,1
281,2,1,2,43,12,8,1,1
282,1,1,2,45,9,13,2,1
282,2,1,1,41,10,13,1,1
283,1,1,1,39,12,15,1,1
283,2,1,1,38,13,15,1,1
284,1,1,1,49,12,13,1,1
284,2,1,1,50,12,13,7,1
285,1,1,1,37,13,14,1,1
285,2,1,1,33,13,14,1,1
286,1,1,1,52,10,13,2,1
286,2,1,2,52,10,13,1,1
287,1,1,1,47,12,13,1,0
287,2,1,1,51,10,13,2,0
288,1,1,3,57,9,7,6,1
288,2,1,5,48,6,7,4,1
289,1,1,1,61,9,13,1,1
289,2,1,1,55,9,13,7,1
290,1,1,2,59,11,18,1,1
290,2,1,2,60,11,18,1,1
291,1,1,1,48,12,16,4,1
291,2,1,1,42,12,16,1,1
292,1,1,1,42,9,13,1,1
292,2,1,1,40,14,13,1,1
293,1,2,2,55,10,13,4,1
293,2,2,2,54,10,13,4,1
294,1,1,1,53,13,14,1,1
294,2,1,1,52,10,14,1,1
295,1,1,2,32,12,15,1,1
295,2,1,1,31,12,15,7,1
296,1,1,2,61,10,13,5,0
296,2,1,1,60,10,13,5,0
297,1,1,1,59,12,13,1,1
297,2,1,1,57,12,13,2,1
298,1,1,2,62,13,15,5,1
298,2,1,1,57,11,15,1,1
299,1,1,1,35,9,12,1,1
299,2,1,1,44,9,12,1,1
300,1,1,2,39,14,17,1,1
300,2,1,1,34,13,17,1,1
301,1,1,1,54,9,16,1,1
301,2,1,1,52,12,16,1,1
302,1,1,1,58,9,19,1,1
302,2,1,1,55,11,19,1,1
303,1,1,1,41,10,11,1,1
303,2,1,1,35,10,11,1,1
304,1,1,1,62,11,13,5,1
304,2,1,1,62,9,13,1,1
305,1,1,1,53,9,14,1,1
305,2,1,1,52,12,14,1,1
306,1,1,1,51,10,14,6,1
306,2,1,1,45,9,14,1,1
307,1,1,1,55,11,12,1,1
307,2,1,1,48,10,12,7,1
308,1,1,1,34,11,13,1,1
308,2,1,1,31,10,13,1,1
309,1,1,1,53,9,13,2,1
309,2,1,2,54,10,13,7,1
310,1,1,2,36,12,16,1,1
310,2,1,1,31,12,16,1,1
311,1,1,1,57,9,11,1,0
311,2,1,1,62,12,11,5,0
312,1,1,1,43,13,16,1,1
312,2,1,1,39,12,16,1,1
313,1,1,1,51,10,16,1,1
313,2,1,1,49,10,16,4,1
314,1,2,1,62,10,14,7,1
314,2,2,1,62,12,14,5,1
315,1,1,1,55,9,16,1,1
315,2,1,1,54,10,16,1,1
316,1,2,1,51,10,18,2,1
316,2,2,1,47,10,18,2,1
317,1,1,1,32,12,10,1,1
317,2,1,1,31,10,10,1,1
318,1,1,1,51,9,15,1,1
318,2,1,1,60,10,15,1,1
319,1,1,2,37,9,14,1,1
319,2,1,1,38,10,14,1,1
320,1,1,1,51,8,17,1,1
320,2,1,4,44,9,17,1,1
321,1,1,2,52,12,14,2,1
321,2,1,1,52,10,14,1,1
322,1,1,1,54,10,5,2,0
322,2,1,1,52,10,5,2,0
323,1,1,1,53,8,10,1,1
323,2,1,1,59,9,10,6,1
324,1,1,1,52,9,15,1,1
324,2,1,1,44,9,15,1,1
325,1,1,1,38,10,13,2,1
325,2,1,1,38,12,13,1,1
326,1,1,2,55,5,6,4,1
326,2,1,2,51,11,6,6,1
327,1,1,1,28,11,14,1,1
327,2,1,1,27,12,14,1,1
328,1,1,1,53,9,15,1,1
328,2,1,1,58,10,15,1,1
329,1,2,1,63,14,19,1,1
329,2,2,2,54,10,19,1,1
330,1,2,1,43,7,14,1,1
330,2,2,3,45,10,14,1,1
331,1,1,1,37,12,18,1,1
331,2,1,2,38,13,18,1,1
332,1,1,1,35,12,13,1,1
332,2,1,1,34,12,13,3,1
333,1,1,1,39,9,11,2,1
333,2,1,1,39,5,11,4,1
334,1,2,2,50,12,16,1,1
334,2,2,2,50,12,16,1,1
335,1,1,1,59,9,16,5,1
335,2,1,1,53,12,16,1,1
336,1,1,1,36,9,13,2,1
336,2,1,4,36,9,13,1,1
337,1,1,1,53,10,15,1,1
337,2,1,1,49,10,15,1,1
338,1,1,1,35,12,13,1,1
338,2,1,1,33,12,13,7,1
339,1,1,1,45,9,15,3,1
339,2,1,1,46,11,15,1,1
340,1,1,2,53,12,13,2,1
340,2,1,2,49,14,13,1,1
341,1,1,1,45,13,15,2,1
341,2,1,1,46,13,15,2,1
342,1,1,2,47,12,19,1,1
342,2,1,2,44,12,19,1,1
343,1,2,1,60,12,16,5,1
343,2,2,1,56,10,16,1,1
344,1,1,1,42,13,9,1,1
344,2,1,1,39,13,9,2,1
345,1,1,1,52,13,13,1,1
345,2,1,1,52,10,13,1,1
346,1,1,1,53,11,15,1,1
346,2,1,1,62,10,15,5,1
347,1,1,2,45,12,17,1,1
347,2,1,2,44,12,17,1,1
348,1,2,2,31,9,10,1,1
348,2,2,4,34,8,10,2,1
349,1,1,1,57,12,13,1,1
349,2,1,1,54,10,13,1,1
350,1,1,1,31,12,14,1,1
350,2,1,1,32,10,14,7,1
351,1,1,1,52,9,17,3,1
351,2,1,2,43,14,17,1,1
352,1,1,1,60,12,17,1,1
352,2,1,1,60,10,17,1,1
353,1,2,1,27,9,13,1,1
353,2,2,1,24,12,13,4,1
354,1,1,1,50,10,13,1,1
354,2,1,1,48,8,13,1,1
355,1,1,1,27,10,10,1,1
355,2,1,2,36,11,10,1,1
356,1,1,1,41,13,19,1,1
356,2,1,1,35,12,19,1,1
357,1,1,2,55,10,16,1,1
357,2,1,1,57,10,16,4,1
358,1,1,1,63,9,17,1,1
358,2,1,2,61,13,17,1,1
359,1,1,1,44,9,12,2,1
359,2,1,1,44,9,12,7,1
360,1,1,1,61,13,16,6,1
360,2,1,1,59,13,16,5,1
361,1,1,1,46,9,10,1,0
361,2,1,1,47,10,10,1,0
362,1,2,1,43,9,8,1,1
362,2,2,2,39,9,8,1,1
363,1,1,1,58,10,16,1,1
363,2,1,1,49,10,16,1,1
364,1,1,1,42,13,15,1,1
364,2,1,1,39,10,15,7,1
365,1,1,2,51,10,16,1,1
365,2,1,1,46,12,16,1,1
366,1,1,1,53,13,19,1,1
366,2,1,1,52,13,19,1,1
367,1,1,1,40,9,8,4,1
367,2,1,1,37,9,8,7,1
368,1,1,1,61,10,17,1,1
368,2,1,1,62,13,17,5,1
369,1,1,1,32,13,12,1,1
369,2,1,2,28,10,12,7,1
370,1,1,2,58,11,6,2,0
370,2,1,2,60,10,6,7,0
371,1,1,1,44,9,16,1,1
371,2,1,1,40,9,16,1,1
372,1,1,1,45,9,13,6,1
372,2,1,3,39,9,13,1,1
373,1,1,2,61,10,13,1,1
373,2,1,2,59,12,13,1,1
374,1,1,1,55,9,15,1,1
374,2,1,1,54,9,15,1,1
375,1,1,1,55,9,13,1,1
375,2,1,1,46,12,13,1,1
376,1,1,2,31,10,11,1,1
376,2,1,2,34,11,11,7,1
377,1,1,1,26,14,11,1,1
377,2,1,1,26,12,11,7,1
378,1,1,1,51,10,16,1,1
378,2,1,1,44,11,16,1,1
379,1,1,1,58,12,13,1,1
379,2,1,1,55,12,13,5,1
380,1,2,4,49,10,7,1,1
380,2,2,2,48,10,7,4,1
381,1,1,1,59,14,15,1,1
381,2,1,1,55,13,15,1,1
382,1,1,2,64,9,11,1,1
382,2,1,2,58,10,11,1,1
383,1,1,1,47,12,17,1,1
383,2,1,2,47,12,17,1,1
384,1,1,1,49,9,17,7,1
384,2,1,1,45,11,17,1,1
385,1,1,1,30,10,11,1,1
385,2,1,1,27,7,11,1,1
386,1,1,1,49,12,17,1,1
