family,father,mother,midparentHeight,children,childNum,gender,childHeight
38,71,66,71.14,6,3,male,68.5
38,71,66,71.14,6,4,female,66
38,71,66,71.14,6,5,female,64.5
38,71,66,71.14,6,6,female,63
39,71,66,71.14,2,1,male,71
39,71,66,71.14,2,2,female,67
40,71,66,71.14,5,1,male,76
40,71,66,71.14,5,2,male,72
40,71,66,71.14,5,3,male,71
40,71,66,71.14,5,4,male,66
40,71,66,71.14,5,5,female,66
41,71.7,65.5,71.22,1,1,male,70.5
42,71,65.5,70.87,6,1,male,72
42,71,65.5,70.87,6,2,male,72
42,71,65.5,70.87,6,3,male,71
42,71,65.5,70.87,6,4,male,69
42,71,65.5,70.87,6,5,female,66
42,71,65.5,70.87,6,6,female,65
43,71.5,65.5,71.12,2,1,male,73
43,71.5,65.5,71.12,2,2,female,65.2
44,71.5,65,70.85,2,1,male,68.5
44,71.5,65,70.85,2,2,male,67.7
45,71,65,70.6,3,1,male,68
45,71,65,70.6,3,2,male,68
45,71,65,70.6,3,3,female,62
46,71,64,70.06,8,1,female,68
46,71,64,70.06,8,2,female,68
46,71,64,70.06,8,3,female,67.5
46,71,64,70.06,8,4,female,66.5
46,71,64,70.06,8,5,female,66.5
46,71,64,70.06,8,6,female,66
46,71,64,70.06,8,7,female,65.5
46,71,64,70.06,8,8,female,65
47,71.7,64.5,70.68,4,1,male,72
47,71.7,64.5,70.68,4,2,male,71
47,71.7,64.5,70.68,4,3,male,70.5
47,71.7,64.5,70.68,4,4,female,67
48,71,64,70.06,3,1,male,68
48,71,64,70.06,3,2,male,68
48,71,64,70.06,3,3,male,68
49,71.5,64.5,70.58,7,1,male,72
49,71.5,64.5,70.58,7,2,male,71
49,71.5,64.5,70.58,7,3,male,70
49,71.5,64.5,70.58,7,4,female,66
49,71.5,64.5,70.58,7,5,female,64.5
49,71.5,64.5,70.58,7,6,female,64.5
49,71.5,64.5,70.58,7,7,female,62
50,71,64.5,70.33,2,1,male,73
50,71,64.5,70.33,2,2,female,62
51,71.2,63,69.62,2,1,female,67.5
51,71.2,63,69.62,2,2,female,64.5
52,71,63.5,69.79,5,1,male,71
52,71,63.5,69.79,5,2,male,67
52,71,63.5,69.79,5,3,female,66
52,71,63.5,69.79,5,4,female,65
52,71,63.5,69.79,5,5,female,63.5
53,71,63,69.52,9,1,male,71
53,71,63,69.52,9,2,male,70
53,71,63,69.52,9,3,male,70
53,71,63,69.52,9,4,male,64
53,71,63,69.52,9,5,female,65
53,71,63,69.52,9,6,female,65
53,71,63,69.52,9,7,female,64
53,71,63,69.52,9,8,female,63
53,71,63,69.52,9,9,female,63
54,71,63,69.52,4,1,male,71
54,71,63,69.52,4,2,male,71
54,71,63,69.52,4,3,male,70
54,71,63,69.52,4,4,female,63.5
55,71,62,68.98,5,1,male,71
55,71,62,68.98,5,2,male,70
55,71,62,68.98,5,3,female,64.5
55,71,62,68.98,5,4,female,62.5
55,71,62,68.98,5,5,female,61.5
56,71,62,68.98,5,1,male,72
56,71,62,68.98,5,2,male,70.5
56,71,62,68.98,5,3,male,70.5
56,71,62,68.98,5,4,female,64.5
56,71,62,68.98,5,5,female,60
57,71,62.5,69.25,5,1,male,70
57,71,62.5,69.25,5,2,female,64
57,71,62.5,69.25,5,3,female,64
57,71,62.5,69.25,5,4,female,64
57,71,62.5,69.25,5,5,female,62.5
58,71,62,68.98,7,1,male,70.5
58,71,62,68.98,7,2,male,70
58,71,62,68.98,7,3,male,69
58,71,62,68.98,7,4,male,69
58,71,62,68.98,7,5,male,66
58,71,62,68.98,7,6,female,64.5
58,71,62,68.98,7,7,female,64
59,71,61,68.44,1,1,female,62
60,71,58,66.82,2,1,male,71.5
60,71,58,66.82,2,2,male,69
61,70,69,72.26,4,1,male,71
61,70,69,72.26,4,2,male,70
61,70,69,72.26,4,3,male,69
61,70,69,72.26,4,4,female,69
62,70,69,72.26,6,1,male,70
62,70,69,72.26,6,2,male,68.7
62,70,69,72.26,6,3,female,68
62,70,69,72.26,6,4,female,66
62,70,69,72.26,6,5,female,64
62,70,69,72.26,6,6,female,62
63,70,68,71.72,1,1,male,75
64,70,67,71.18,5,1,male,70
64,70,67,71.18,5,2,male,69
64,70,67,71.18,5,3,female,66
64,70,67,71.18,5,4,female,64
64,70,67,71.18,5,5,female,60
65,70,67,71.18,1,1,female,67.5
66,70,66.5,70.91,11,1,male,73
66,70,66.5,70.91,11,2,male,72
66,70,66.5,70.91,11,3,male,72
66,70,66.5,70.91,11,4,male,66.5
66,70,66.5,70.91,11,5,female,69.2
66,70,66.5,70.91,11,6,female,67.2
66,70,66.5,70.91,11,7,female,66.5
66,70,66.5,70.91,11,8,female,66
66,70,66.5,70.91,11,9,female,66
66,70,66.5,70.91,11,10,female,64.2
66,70,66.5,70.91,11,11,female,63.7
67,70.5,65,70.35,4,1,male,72
67,70.5,65,70.35,4,2,male,70.2
67,70.5,65,70.35,4,3,male,69
67,70.5,65,70.35,4,4,male,68.5
68,70.5,65,70.35,5,1,female,68
68,70.5,65,70.35,5,2,female,65
68,70.5,65,70.35,5,3,female,61.5
68,70.5,65,70.35,5,4,female,61
68,70.5,65,70.35,5,5,female,61
69,70,65,70.1,8,1,male,73
69,70,65,70.1,8,2,male,72
69,70,65,70.1,8,3,male,70.5
69,70,65,70.1,8,4,male,65
69,70,65,70.1,8,5,male,65
69,70,65,70.1,8,6,female,64.5
69,70,65,70.1,8,7,female,63
69,70,65,70.1,8,8,female,62
70,70,65,70.1,5,1,male,67
70,70,65,70.1,5,2,male,65
70,70,65,70.1,5,3,female,64.5
70,70,65,70.1,5,4,female,62.5
70,70,65,70.1,5,5,female,62.5
71,70,65,70.1,6,1,male,70
71,70,65,70.1,6,2,male,70
71,70,65,70.1,6,3,female,67
71,70,65,70.1,6,4,female,65
71,70,65,70.1,6,5,female,65
71,70,65,70.1,6,6,female,63
72,70,65,70.1,7,1,male,79
72,70,65,70.1,7,2,male,75
72,70,65,70.1,7,3,male,71
72,70,65,70.1,7,4,female,69
72,70,65,70.1,7,5,female,67
72,70,65,70.1,7,6,female,65.7
72,70,65,70.1,7,7,female,62
73,70,65,70.1,3,1,male,73
73,70,65,70.1,3,2,male,72.5
73,70,65,70.1,3,3,female,65
74,70,65,70.1,2,1,male,69
74,70,65,70.1,2,2,male,69
75,70,64.7,69.938,7,1,male,72
75,70,64.7,69.938,7,2,male,70
75,70,64.7,69.938,7,3,male,68.7
75,70,64.7,69.938,7,4,female,66.5
75,70,64.7,69.938,7,5,female,65.5
75,70,64.7,69.938,7,6,female,64.7
75,70,64.7,69.938,7,7,female,64.5
76,70,64,69.56,7,1,male,70.7
76,70,64,69.56,7,2,male,70
76,70,64,69.56,7,3,male,68
76,70,64,69.56,7,4,male,67
76,70,64,69.56,7,5,male,66
76,70,64,69.56,7,6,male,65
76,70,64,69.56,7,7,female,67
77,70,64,69.56,4,1,male,70
77,70,64,69.56,4,2,male,68
77,70,64,69.56,4,3,male,66.7
77,70,64,69.56,4,4,female,65.5
78,70,64.2,69.668,5,1,male,72
78,70,64.2,69.668,5,2,male,70
78,70,64.2,69.668,5,3,female,62.5
78,70,64.2,69.668,5,4,female,61.2
78,70,64.2,69.668,5,5,female,60.1
79,70.5,64,69.81,8,1,male,74
79,70.5,64,69.81,8,2,male,69.5
79,70.5,64,69.81,8,3,male,69
79,70.5,64,69.81,8,4,male,68
79,70.5,64,69.81,8,5,male,68
79,70.5,64,69.81,8,6,male,68
79,70.5,64,69.81,8,7,female,65.5
79,70.5,64,69.81,8,8,female,65
80,70.5,64.5,70.08,1,1,female,60
81,70,64,69.56,4,1,male,68
81,70,64,69.56,4,2,female,65
81,70,64,69.56,4,3,female,64
81,70,64,69.56,4,4,female,62
82,70,64,69.56,9,1,male,71
82,70,64,69.56,9,2,male,70
82,70,64,69.56,9,3,male,70
82,70,64,69.56,9,4,male,70
82,70,64,69.56,9,5,male,69.5
82,70,64,69.56,9,6,male,68.5
82,70,64,69.56,9,7,female,69
82,70,64,69.56,9,8,female,65
82,70,64,69.56,9,9,female,64
83,70,63.7,69.398,8,1,male,70
83,70,63.7,69.398,8,2,male,67
83,70,63.7,69.398,8,3,male,65.5
83,70,63.7,69.398,8,4,female,63.7
83,70,63.7,69.398,8,5,female,63.2
83,70,63.7,69.398,8,6,female,62.5
83,70,63.7,69.398,8,7,female,62.2
83,70,63.7,69.398,8,8,female,61
84,70.5,63,69.27,4,1,male,70
84,70.5,63,69.27,4,2,male,68.5
84,70.5,63,69.27,4,3,female,65.5
84,70.5,63,69.27,4,4,female,63.5
85,70.5,63,69.27,5,1,male,72.5
85,70.5,63,69.27,5,2,male,69
85,70.5,63,69.27,5,3,male,67
85,70.5,63,69.27,5,4,female,64.5
85,70.5,63,69.27,5,5,female,64
86,70,63.5,69.29,4,1,male,71
86,70,63.5,69.29,4,2,male,67.5
86,70,63.5,69.29,4,3,female,67.5
86,70,63.5,69.29,4,4,female,63.5
87,70,63,69.02,4,1,male,68
87,70,63,69.02,4,2,male,67
87,70,63,69.02,4,3,female,63.7
87,70,63,69.02,4,4,female,62
88,70,63,69.02,4,1,male,70
88,70,63,69.02,4,2,male,66.5
88,70,63,69.02,4,3,female,62
88,70,63,69.02,4,4,female,61
89,70.5,62,68.73,8,1,male,72
89,70.5,62,68.73,8,2,male,70
89,70.5,62,68.73,8,3,male,69.5
89,70.5,62,68.73,8,4,male,69.5
89,70.5,62,68.73,8,5,male,68
89,70.5,62,68.73,8,6,female,65
89,70.5,62,68.73,8,7,female,64
89,70.5,62,68.73,8,8,female,63
90,70.3,62.7,69.008,7,1,male,70.7
90,70.3,62.7,69.008,7,2,male,69.7
90,70.3,62.7,69.008,7,3,male,69.2
90,70.3,62.7,69.008,7,4,male,65.2
90,70.3,62.7,69.008,7,5,female,64
90,70.3,62.7,69.008,7,6,female,63.5
90,70.3,62.7,69.008,7,7,female,63.2
91,70.5,62,68.73,3,1,male,72
91,70.5,62,68.73,3,2,male,72
91,70.5,62,68.73,3,3,female,60
92,70,61,67.94,2,1,male,71.2
92,70,61,67.94,2,2,male,67
93,70,60,67.4,4,1,male,67
93,70,60,67.4,4,2,male,64.5
93,70,60,67.4,4,3,female,65
93,70,60,67.4,4,4,female,63
94,70,60,67.4,2,1,female,65
94,70,60,67.4,2,2,female,65
95,70,58.5,66.59,3,1,male,71.5
95,70,58.5,66.59,3,2,male,64.5
95,70,58.5,66.59,3,3,female,63
96,70,58,66.32,5,1,male,72
96,70,58,66.32,5,2,male,66
96,70,58,66.32,5,3,female,66
96,70,58,66.32,5,4,female,65
96,70,58,66.32,5,5,female,63
97,69,68.5,71.49,10,1,male,75
97,69,68.5,71.49,10,2,male,71
97,69,68.5,71.49,10,3,male,70
97,69,68.5,71.49,10,4,female,66
97,69,68.5,71.49,10,5,female,66
97,69,68.5,71.49,10,6,female,65.5
97,69,68.5,71.49,10,7,female,65
97,69,68.5,71.49,10,8,female,65
97,69,68.5,71.49,10,9,female,64
97,69,68.5,71.49,10,10,female,64
98,69,67,70.68,1,1,female,64
99,69,66,70.14,8,1,male,73
99,69,66,70.14,8,2,male,72
99,69,66,70.14,8,3,male,71.7
99,69,66,70.14,8,4,male,71.5
99,69,66,70.14,8,5,female,65.5
99,69,66,70.14,8,6,female,65
99,69,66,70.14,8,7,female,62.7
99,69,66,70.14,8,8,female,62.5
100,69,66,70.14,3,1,male,71.2
100,69,66,70.14,3,2,male,71
100,69,66,70.14,3,3,male,70
101,69,66.7,70.518,4,1,male,75
101,69,66.7,70.518,4,2,male,74
101,69,66.7,70.518,4,3,male,72
101,69,66.7,70.518,4,4,male,68.5
102,69,66,70.14,6,1,male,70
102,69,66,70.14,6,2,male,68.5
102,69,66,70.14,6,3,male,68
102,69,66,70.14,6,4,female,65
102,69,66,70.14,6,5,female,63
102,69,66,70.14,6,6,female,62.5
103,69,66.5,70.41,7,1,male,73
103,69,66.5,70.41,7,2,male,71
103,69,66.5,70.41,7,3,male,70.5
103,69,66.5,70.41,7,4,male,70.5
103,69,66.5,70.41,7,5,male,67
103,69,66.5,70.41,7,6,male,66
103,69,66.5,70.41,7,7,female,61
104,69.5,66.5,70.66,4,1,male,70.5
104,69.5,66.5,70.66,4,2,male,67.5
104,69.5,66.5,70.66,4,3,female,64.5
104,69.5,66.5,70.66,4,4,female,64
105,69,66.5,70.41,6,1,male,71
105,69,66.5,70.41,6,2,female,68.5
105,69,66.5,70.41,6,3,female,67.5
105,69,66.5,70.41,6,4,female,66
105,69,66.5,70.41,6,5,female,63
105,69,66.5,70.41,6,6,female,63
106,69.5,66,70.39,7,1,male,71
106,69.5,66,70.39,7,2,male,71
106,69.5,66,70.39,7,3,male,70.5
106,69.5,66,70.39,7,4,male,70.5
106,69.5,66,70.39,7,5,female,66.5
106,69.5,66,70.39,7,6,female,65.5
106,69.5,66,70.39,7,7,female,64.5
107,69,66,70.14,9,1,male,73
107,69,66,70.14,9,2,male,72
107,69,66,70.14,9,3,male,69
107,69,66,70.14,9,4,male,69
107,69,66,70.14,9,5,female,66.5
107,69,66,70.14,9,6,female,65.5
107,69,66,70.14,9,7,female,65.5
107,69,66,70.14,9,8,female,65
107,69,66,70.14,9,9,female,64
108,69,65,69.6,7,1,male,70
108,69,65,69.6,7,2,male,68.5
108,69,65,69.6,7,3,male,67
108,69,65,69.6,7,4,female,65
108,69,65,69.6,7,5,female,64
108,69,65,69.6,7,6,female,63.5
108,69,65,69.6,7,7,female,61
109,69.5,64.5,69.58,7,1,male,69.7
109,69.5,64.5,69.58,7,2,male,68
109,69.5,64.5,69.58,7,3,male,60
109,69.5,64.5,69.58,7,4,female,65.2
109,69.5,64.5,69.58,7,5,female,64.5
109,69.5,64.5,69.58,7,6,female,63.7
109,69.5,64.5,69.58,7,7,female,60
110,69.2,64,69.16,4,1,male,71.7
110,69.2,64,69.16,4,2,male,66.5
110,69.2,64,69.16,4,3,female,65
110,69.2,64,69.16,4,4,female,63.5
111,69,63.5,68.79,1,1,female,65.5
112,69,63,68.52,3,1,male,69
112,69,63,68.52,3,2,female,67.5
112,69,63,68.52,3,3,female,63.5
113,69,63,68.52,1,1,male,72
114,69,63,68.52,6,1,male,73
114,69,63,68.52,6,2,male,70
114,69,63,68.52,6,3,male,70
114,69,63,68.52,6,4,male,64
114,69,63,68.52,6,5,female,66
114,69,63,68.52,6,6,female,62
115,69,63.5,68.79,7,1,male,70.5
115,69,63.5,68.79,7,2,male,67
115,69,63.5,68.79,7,3,male,66
115,69,63.5,68.79,7,4,female,65
115,69,63.5,68.79,7,5,female,63
115,69,63.5,68.79,7,6,female,62
115,69,63.5,68.79,7,7,female,61
116,69,63.5,68.79,3,1,male,70.5
116,69,63.5,68.79,3,2,female,63.7
116,69,63.5,68.79,3,3,female,63
117,69.7,62,68.33,1,1,female,62.5
118,69.5,62,68.23,3,1,male,73
118,69.5,62,68.23,3,2,male,72
118,69.5,62,68.23,3,3,male,69
119,69,62,67.98,5,1,male,73
119,69,62,67.98,5,2,male,71
119,69,62,67.98,5,3,male,71
119,69,62,67.98,5,4,male,69
119,69,62,67.98,5,5,female,63
120,69.5,62,68.23,11,1,male,72
120,69.5,62,68.23,11,2,male,70
120,69.5,62,68.23,11,3,male,67.8
120,69.5,62,68.23,11,4,female,65.2
120,69.5,62,68.23,11,5,female,64.7
120,69.5,62,68.23,11,6,female,64.5
120,69.5,62,68.23,11,7,female,63.5
120,69.5,62,68.23,11,8,female,63.5
120,69.5,62,68.23,11,9,female,62.5
120,69.5,62,68.23,11,10,female,62
120,69.5,62,68.23,11,11,female,61.5
121,69,62.5,68.25,8,1,male,71
121,69,62.5,68.25,8,2,male,70
121,69,62.5,68.25,8,3,male,70
121,69,62.5,68.25,8,4,male,69
121,69,62.5,68.25,8,5,female,63.5
121,69,62.5,68.25,8,6,female,62.5
121,69,62.5,68.25,8,7,female,62.5
121,69,62.5,68.25,8,8,female,62
122,69,62,67.98,4,1,male,72
122,69,62,67.98,4,2,male,68
122,69,62,67.98,4,3,female,66
122,69,62,67.98,4,4,female,66
123,69.5,61,67.69,5,1,male,70
123,69.5,61,67.69,5,2,male,69.5
123,69.5,61,67.69,5,3,male,69
123,69.5,61,67.69,5,4,female,63
123,69.5,61,67.69,5,5,female,62
124,69,61,67.44,9,1,male,68
124,69,61,67.44,9,2,male,68
124,69,61,67.44,9,3,male,67.5
124,69,61,67.44,9,4,male,64
124,69,61,67.44,9,5,male,63
124,69,61,67.44,9,6,male,63
124,69,61,67.44,9,7,female,63.5
124,69,61,67.44,9,8,female,62
124,69,61,67.44,9,9,female,62
125,69,60,66.9,3,1,male,70.5
125,69,60,66.9,3,2,female,68
125,69,60,66.9,3,3,female,62.5
126,69,60,66.9,4,1,male,69
126,69,60,66.9,4,2,male,66
126,69,60,66.9,4,3,female,61.7
126,69,60,66.9,4,4,female,60.5
127,69,60.5,67.17,1,1,male,69.5
128,68.7,70.5,72.42,2,1,male,71
128,68.7,70.5,72.42,2,2,female,61.7
129,68.5,67,70.43,3,1,male,73
129,68.5,67,70.43,3,2,male,71
129,68.5,67,70.43,3,3,female,67
130,68.5,66.5,70.16,11,1,male,70
130,68.5,66.5,70.16,11,2,male,69
130,68.5,66.5,70.16,11,3,male,69
130,68.5,66.5,70.16,11,4,male,68.7
130,68.5,66.5,70.16,11,5,male,68.5
130,68.5,66.5,70.16,11,6,male,68.5
130,68.5,66.5,70.16,11,7,male,68
130,68.5,66.5,70.16,11,8,male,68
130,68.5,66.5,70.16,11,9,male,68
130,68.5,66.5,70.16,11,10,male,66.2
130,68.5,66.5,70.16,11,11,female,63.2
131,68,65,69.1,2,1,male,67.5
131,68,65,69.1,2,2,male,66
132,68,65.5,69.37,2,1,male,66
132,68,65.5,69.37,2,2,female,64
133,68,65.5,69.37,7,1,male,71.7
133,68,65.5,69.37,7,2,male,71.5
133,68,65.5,69.37,7,3,male,70.7
133,68,65.5,69.37,7,4,male,65.5
133,68,65.5,69.37,7,5,female,66.5
133,68,65.5,69.37,7,6,female,65.2
133,68,65.5,69.37,7,7,female,61.5
134,68,65,69.1,4,1,male,72
134,68,65,69.1,4,2,male,72
134,68,65,69.1,4,3,female,68
134,68,65,69.1,4,4,female,66
135,68.5,65,69.35,8,1,male,69.2
135,68.5,65,69.35,8,2,male,68
135,68.5,65,69.35,8,3,male,66
135,68.5,65,69.35,8,4,male,66
135,68.5,65,69.35,8,5,female,62
135,68.5,65,69.35,8,6,female,61.5
135,68.5,65,69.35,8,7,female,61
135,68.5,65,69.35,8,8,female,60
136A,68.5,65,69.35,8,1,male,72
136A,68.5,65,69.35,8,2,male,70.5
136A,68.5,65,69.35,8,3,male,68.7
136A,68.5,65,69.35,8,4,male,68.5
136A,68.5,65,69.35,8,5,male,67.7
136A,68.5,65,69.35,8,6,female,64
136A,68.5,65,69.35,8,7,female,63.5
136A,68.5,65,69.35,8,8,female,63
136,68,64,68.56,10,1,male,71
136,68,64,68.56,10,2,male,68
136,68,64,68.56,10,3,male,68
136,68,64,68.56,10,4,male,67
136,68,64,68.56,10,5,female,65
136,68,64,68.56,10,6,female,64
136,68,64,68.56,10,7,female,63
136,68,64,68.56,10,8,female,63
136,68,64,68.56,10,9,female,62
136,68,64,68.56,10,10,female,61
137,68,64,68.56,4,1,male,66
137,68,64,68.56,4,2,male,63
137,68,64,68.56,4,3,female,65.5
137,68,64,68.56,4,4,female,62
138,68,64,68.56,5,1,male,71.2
138,68,64,68.56,5,2,male,71.2
138,68,64,68.56,5,3,male,69
138,68,64,68.56,5,4,male,68.5
138,68,64,68.56,5,5,female,62.5
139,68,64.5,68.83,1,1,female,62
140,68,64,68.56,10,1,male,69
140,68,64,68.56,10,2,male,67
140,68,64,68.56,10,3,male,66
140,68,64,68.56,10,4,female,66
140,68,64,68.56,10,5,female,66
140,68,64,68.56,10,6,female,65
140,68,64,68.56,10,7,female,65
140,68,64,68.56,10,8,female,65
140,68,64,68.56,10,9,female,64
140,68,64,68.56,10,10,female,63
141,68,63,68.02,8,1,male,70.5
141,68,63,68.02,8,2,male,70
141,68,63,68.02,8,3,male,68
141,68,63,68.02,8,4,male,66
141,68,63,68.02,8,5,male,66
141,68,63,68.02,8,6,female,66
141,68,63,68.02,8,7,female,62
141,68,63,68.02,8,8,female,61.5
142,68.5,63.5,68.54,4,1,male,73.5
142,68.5,63.5,68.54,4,2,male,70
142,68.5,63.5,68.54,4,3,male,69.5
142,68.5,63.5,68.54,4,4,female,65.5
143,68,63,68.02,1,1,male,67
144,68,63,68.02,4,1,male,70
144,68,63,68.02,4,2,male,68
144,68,63,68.02,4,3,female,64.5
144,68,63,68.02,4,4,female,64
145,68,63,68.02,8,1,male,71
145,68,63,68.02,8,2,male,68
145,68,63,68.02,8,3,male,66
145,68,63,68.02,8,4,male,65.5
145,68,63,68.02,8,5,male,65
145,68,63,68.02,8,6,female,63
145,68,63,68.02,8,7,female,62
145,68,63,68.02,8,8,female,62
146,68,63,68.02,6,1,male,67
146,68,63,68.02,6,2,male,67
146,68,63,68.02,6,3,male,66
146,68,63,68.02,6,4,female,64
146,68,63,68.02,6,5,female,63.5
146,68,63,68.02,6,6,female,61
147,68.5,63.5,68.54,1,1,male,68.2
148,68,63,68.02,1,1,male,70
149,68.2,63.5,68.39,5,1,male,70
149,68.2,63.5,68.39,5,2,male,69
149,68.2,63.5,68.39,5,3,male,67
149,68.2,63.5,68.39,5,4,male,65.5
149,68.2,63.5,68.39,5,5,female,64.5
150,68,62.5,67.75,1,1,male,68.5
151,68.7,62,67.83,2,1,male,67.7
151,68.7,62,67.83,2,2,female,61.7
152,68,62.5,67.75,1,1,male,66.5
153,68,61,66.94,5,1,male,68.5
153,68,61,66.94,5,2,male,68
153,68,61,66.94,5,3,male,64
153,68,61,66.94,5,4,female,63.5
153,68,61,66.94,5,5,female,63
154,68,60.2,66.508,1,1,male,66.7
155,68,60,66.4,7,1,male,64
155,68,60,66.4,7,2,female,61
155,68,60,66.4,7,3,female,61
155,68,60,66.4,7,4,female,60
155,68,60,66.4,7,5,female,60
155,68,60,66.4,7,6,female,60
155,68,60,66.4,7,7,female,56
156,68,60,66.4,4,1,male,67.5
156,68,60,66.4,4,2,male,67
156,68,60,66.4,4,3,male,66.5
156,68,60,66.4,4,4,female,60
157,68.5,59,66.11,1,1,male,69
158,68,59,65.86,10,1,male,68
158,68,59,65.86,10,2,male,65
158,68,59,65.86,10,3,male,64.7
158,68,59,65.86,10,4,male,64
158,68,59,65.86,10,5,male,64
