carid,vehicle,year,msrp,accelrate,mpg,mpgmpge,class
97,Prius C,2012,19006.62,9.35,50,50,C
98,Prius PHV,2012,32095.61,8.82,50,95,M
99,Ampera,2012,31739.55,11.11,37,98,C
100,ActiveHybrid 5,2012,62180.23,16.67,26,26,M
101,Lexus GS450h,2012,59126.14,16.95,31,31,M
102,Insight,2012,18555.28,9.42,42,42,C
103,Chevrolet Volt,2012,39261.96,11.11,37,94,C
104,Camry LE,2012,26067.66,13.16,41,41,M
105,MKZ FWD,2012,34858.84,11.49,39,39,M
106,M35h,2012,53860.45,19.23,29,29,M
107,LaCrosse,2012,30049.52,11.36,29,29,M
108,ActiveHybrid 5,2012,61132.11,17.54,26,26,M
109,Panamera S,2012,95283.85,17.54,25,25,L
110,Yukon 1500,2012,52626.77,13.5,21,21,SUV
111,Prius C,2013,19080.00,8.7,50,50,C
112,Jetta,2013,24995.00,12.66,45,45,C
113,Civic,2013,24360.00,10.2,44,44,C
114,Prius,2013,24200.00,10.2,50,50,M
115,Fusion FWD,2013,27200.00,11.72,47,47,M
116,C-Max FWD,2013,25200.00,12.35,43,43,L
117,Insight,2013,18600.00,11.76,42,42,C
118,Camry LE,2013,26140.00,13.51,41,41,M
119,Camry LXLE,2013,27670.00,13.33,40,40,M
120,Sonata,2013,25650.00,11.76,38,38,M
121,Optima,2013,25900.00,11.63,38,38,M
122,Sonata Limited,2013,30550.00,11.76,37,37,M
123,Optima EX,2013,31950.00,11.36,37,37,M
124,Malibu,2013,24985.00,11.49,29,29,M
125,LaCrosse,2013,31660.00,11.36,29,29,M
126,Regal,2013,29015.00,12.2,29,29,M
127,RX 450h,2013,46310.00,12.99,30,30,SUV
128,Highlander 4WD,2013,40170.00,13.89,28,28,SUV
129,Q5,2013,50900.00,14.71,26,26,SUV
130,Cayenne S,2013,69850.00,16.39,21,21,SUV
131,Touareg,2013,62575.00,16.13,21,21,SUV
132,Escalade 2WD,2013,74425.00,11.63,21,21,SUV
133,Tahoe 2WD,2013,53620.00,11.9,21,21,SUV
134,Yukon 1500,2013,54145.00,11.88,21,21,SUV
135,Yukon 1500,2013,61960.00,13.33,21,21,SUV
137,MKZ FWD,2013,35925.00,14.03,45,45,M
138,CT 200h,2013,32050.00,10.31,42,42,C
139,ES 300h,2013,39250.00,12.35,40,40,M
140,ILX,2013,28900.00,9.26,38,38,C
141,ActiveHybrid 3,2013,49650.00,14.93,28,28,C
142,Silverado 15 2WD,2013,41135.00,12.35,21,21,PT
143,Sierra 15 2WD,2013,41555.00,10,21,21,PT
144,GS 450h,2013,59450.00,16.67,31,31,M
145,M35h,2013,54750.00,19.61,29,29,M
146,E400,2013,55800.00,14.93,26,26,M
147,ActiveHybrid 5,2013,61400.00,12.99,26,26,M
148,ActiveHybrid 7L,2013,84300.00,18.18,25,25,L
149,Panamera S,2013,96150.00,18.52,25,25,L
150,S400,2013,92350.00,13.89,21,21,L
151,Prius Plug-in,2013,32000.00,9.17,50,95,M
152,C-Max Energi Plug-in,2013,32950.00,11.76,43,100,M
153,Fusion Energi Plug-in,2013,38700.00,11.76,43,100,M
154,Chevrolet Volt,2013,39145.00,11.11,37,98,C
