State,Race/Ethnicity,Population
Utah,Other,54200
Utah,Total,948100
Vermont,White,114200
Vermont,Black,3200
Vermont,Hispanic,0
Vermont,Other,6700
Vermont,Total,126500
Virginia,White,1150400
Virginia,Black,417100
Virginia,Hispanic,248800
Virginia,Other,214500
Virginia,Total,2030800
Washington,White,996600
Washington,Black,81400
Washington,Hispanic,396400
Washington,Other,290200
Washington,Total,1764700
West Virginia,White,338600
West Virginia,Black,17000
West Virginia,Hispanic,0
West Virginia,Other,26900
West Virginia,Total,388400
Wisconsin,White,971800
Wisconsin,Black,113600
Wisconsin,Hispanic,191100
Wisconsin,Other,104100
Wisconsin,Total,1380500
Wyoming,White,117100
Wyoming,Black,0
Wyoming,Hispanic,18500
Wyoming,Other,5600
Wyoming,Total,143300
