SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014
1,28,2118605,2118832,2135020,2142935,2121224,2208102,2207185
1,29,2117939,2118136,2112348,2142142,2153004,2131034,2217913
1,30,2160802,2160985,2167540,2118884,2150930,2161949,2140108
1,31,1988155,1988316,2026467,2173437,2126666,2158691,2169725
1,32,1994476,1994633,1986185,2031439,2180655,2134119,2165840
1,33,1936863,1937019,1963676,1990895,2037597,2187122,2140697
1,34,1916204,1916335,1908761,1967591,1996443,2042822,2192455
1,35,1980916,1981054,1974660,1912408,1972476,2001196,2047326
1,36,1890595,1890735,1907447,1977556,1916441,1976017,2004990
1,37,1953386,1953517,1934572,1909891,1981177,1919755,1979035
1,38,2049720,2049895,2028088,1936430,1913007,1983827,1922571
1,39,2167405,2167539,2148755,2029620,1938450,1915150,1985914
1,40,2191249,2191402,2189556,2148816,2030700,1939565,1916261
1,41,2047818,2047956,2073925,2188440,2148912,2031098,1939916
1,42,2028653,2028803,2031830,2072644,2187877,2148528,2031325
1,43,2035990,2036138,2031012,2030258,2071530,2186337,2147656
1,44,2090267,2090421,2074606,2028884,2028587,2069691,2184235
1,45,2237450,2237597,2201934,2071315,2026505,2025995,2067223
1,46,2230982,2231124,2238804,2197676,2067816,2023165,2022698
1,47,2238248,2238400,2237972,2233282,2192918,2063499,2019306
1,48,2237734,2237883,2235326,2231035,2226963,2186890,2058243
1,49,2264671,2264812,2262482,2227361,2223569,2219697,2179993
1,50,2300354,2300514,2290902,2253317,2218886,2215048,2211607
1,51,2190766,2190907,2209830,2280590,2243135,2208963,2205405
1,52,2207246,2207391,2197222,2198558,2269096,2231681,2198124
1,53,2141354,2141486,2170965,2184619,2186145,2256425,2219617
1,54,2093554,2093679,2091677,2157278,2171174,2172782,2242828
1,55,2073473,2073582,2075250,2077204,2142478,2156419,2158258
1,56,1956141,1956229,1984480,2059951,2061826,2126682,2140722
1,57,1905355,1905437,1910028,1968594,2043497,2045443,2110149
1,58,1834808,1834878,1838703,1893322,1951737,2025729,2027959
1,59,1753871,1753954,1779504,1821406,1875818,1933300,2006900
1,60,1745507,1745566,1742232,1761705,1803148,1856807,1914009
1,61,1679077,1679126,1691413,1724070,1742764,1783687,1837080
1,62,1712692,1712758,1679074,1672358,1704587,1722694,1763504
1,63,1672329,1672372,1753914,1658251,1652135,1683500,1701827
1,64,1267895,1267932,1291843,1730967,1636589,1630078,1661474
1,65,1273310,1273350,1272693,1273438,1706913,1613480,1607688
1,66,1248276,1248312,1239805,1253330,1254189,1680827,1589127
1,67,1248906,1248939,1270148,1219019,1232744,1233519,1653257
1,68,1087296,1087341,1105702,1246793,1196885,1210686,1211480
1,69,994759,994799,1006786,1083669,1222415,1173646,1187554
1,70,945611,945645,954076,984951,1060914,1196554,1149247
1,71,900148,900188,903263,931583,962369,1036549,1169356
1,72,853726,853749,862528,879983,908290,938375,1010896
1,73,787863,787903,794646,838115,855862,883491,913008
1,74,756624,756662,758831,770008,812997,830315,857432
1,75,721008,721040,725664,733029,744698,786381,803434
1,76,647804,647847,653551,698498,706528,717882,758378
1,77,631884,631916,630867,626578,670716,678575,689822
1,78,602458,602490,602774,602296,599030,641341,649209
1,79,579234,579284,573884,572622,573208,570077,610723
1,80,543559,543595,549215,542198,542008,542740,540032
1,81,494870,494914,496069,515677,510046,509963,511090
1,82,462983,463020,462807,462452,481848,476664,476976
1,83,419831,419883,423000,427993,428735,446891,442449
1,84,373131,373169,375687,387657,393312,394125,411265
1,85,336819,336856,337662,340765,352802,358083,359264
1,86,293120,293149,295395,302907,306774,317778,322934
1,87,249803,249840,253620,261743,269529,273066,283305
1,88,217436,217472,216220,221788,229893,236872,240316
1,89,176689,176731,180461,186142,192164,199244,205684
1,90,136948,136985,141398,153043,158653,164052,170350
1,91,103799,103826,104291,117735,128430,133073,138080
1,92,81072,81101,83462,85350,96898,105934,109873
1,93,59037,59063,60182,66904,69076,78273,85980
1,94,43531,43541,43828,47169,52992,54883,62130
1,95,30951,30967,31736,33611,36517,41098,42824
1,96,21424,21432,22022,23798,25457,27630,31235
1,97,14556,14563,14775,16115,17623,18831,20479
1,98,9259,9263,9504,10555,11654,12750,13649
1,99,6073,6075,6104,6607,7459,8228,9037
1,100,9162,9166,9351,10146,11161,12369,13729
1,999,151781326,151790132,152089484,153294635,154528573,155741368,156936487
2,0,1929877,1929882,1932910,1934637,1918972,1930073,1930493
2,1,1947217,1947229,1937556,1941017,1942626,1927725,1938870
2,2,2004731,2004737,2002177,1944598,1947944,1950168,1935270
2,3,2014490,2014496,2010648,2008191,1950487,1954340,1956572
2,4,1985620,1985630,1993240,2015949,2013394,1956094,1959950
2,5,1984764,1984770,1988080,1998252,2020829,2018683,1961391
2,6,1991062,1991082,1993603,1993177,2003204,2026172,2024024
2,7,1973503,1973512,1979908,1998884,1998343,2008774,2031760
2,8,1981033,1981038,1971142,1985229,2004111,2003958,2014402
2,9,2028657,2028667,2018378,1976457,1990441,2009708,2009560
2,10,2036545,2036552,2044895,2023731,1981712,1996098,2015380
2,11,2011151,2011159,2010714,2050360,2029139,1987533,2001949
2,12,2006098,2006105,2009630,2016357,2055920,2035137,1993547
2,13,2013099,2013123,2014717,2015268,2021941,2061918,2041159
2,14,2030439,2030463,2022701,2020702,2021142,2028274,2068252
2,15,2065798,2065842,2060561,2029398,2027201,2028121,2035299
2,16,2100105,2100158,2098220,2068349,2036958,2035348,2036296
2,17,2132142,2132181,2123530,2108174,2078066,2047481,2045897
2,18,2195382,2195450,2185272,2135918,2120224,2091107,2060528
2,19,2243250,2243368,2236479,2199103,2149387,2134610,2105604
2,20,2210810,2210920,2236624,2250399,2213011,2163855,2149317
2,21,2131096,2131159,2146819,2250678,2265004,2228077,2179012
2,22,2086845,2086879,2098759,2161882,2266118,2281348,2244480
2,23,2057772,2057804,2066126,2114866,2178024,2283383,2298701
2,24,2085300,2085330,2082209,2082538,2131594,2195765,2301237
2,25,2101042,2101064,2112253,2098884,2099474,2149579,2213758
2,26,2055217,2055246,2058435,2127904,2114741,2116467,2166446
2,27,2108218,2108240,2101796,2072826,2142454,2130247,2132116
2,28,2096644,2096665,2112520,2115211,2086106,2156710,2144666
2,29,2105137,2105157,2097937,2124446,2127138,2099014,2169563
2,30,2124866,2124887,2136704,2108531,2134944,2138678,2110672
2,31,1982063,1982099,2016040,2146135,2117945,2145003,2148981
2,32,1992371,1992390,1981418,2024516,2154580,2127137,2154232
2,33,1943287,1943299,1969894,1989123,2032126,2162806,2135416
2,34,1923012,1923030,1913427,1977029,1996168,2039717,2170440
2,35,1975518,1975550,1973658,1920094,1983466,2003260,2046713
2,36,1911492,1911505,1922755,1979473,1925822,1989547,2009423
2,37,1981059,1981076,1962204,1927923,1984487,1931364,1995155
2,38,2072160,2072182,2052141,1966847,1932496,1989563,1936610
2,39,2197391,2197408,2175705,2056151,1970757,1936799,1993913
2,40,2192025,2192050,2197927,2178927,2059434,1974417,1940627
2,41,2067167,2067189,2089545,2200501,2181345,2062385,1977497
2,42,2047451,2047474,2050903,2091360,2202149,2183323,2064604
2,43,2069115,2069129,2062829,2052221,2092543,2203503,2184835
2,44,2121229,2121255,2103895,2063720,2053132,2093696,2204527
2,45,2271418,2271440,2236617,2104124,2063906,2053610,2094227
2,46,2288779,2288808,2290908,2235918,2103392,2063634,2053539
2,47,2297017,2297040,2297492,2289211,2234219,2102463,2062844
2,48,2301062,2301083,2299343,2294972,2286680,2232044,2100753
2,49,2341230,2341245,2336620,2296005,2291547,2283549,2229216
2,50,2359941,2359959,2355349,2332411,2291815,2287672,2279824
2,51,2273865,2273889,2289164,2350597,2327558,2287182,2283261
2,52,2293600,2293616,2283408,2283716,2344890,2322029,2282051
2,53,2239000,2239018,2268457,2277409,2277485,2338786,2316131
2,54,2198445,2198469,2196798,2261741,2270419,2270728,2331961
2,55,2181236,2181252,2183762,2189501,2254059,2262880,2263367
2,56,2081372,2081397,2108681,2176146,2181481,2245734,2254749
2,57,2031031,2031050,2036520,2100465,2167677,2172868,2237030
2,58,1960120,1960148,1963764,2027996,2091511,2158431,2163798
2,59,1887398,1887417,1914772,1954730,2018675,2081749,2148517
2,60,1875624,1875651,1874501,1905437,1944896,2008381,2071358
2,61,1813519,1813539,1828708,1864446,1894984,1934028,1997348
2,62,1850490,1850513,1815999,1817279,1853114,1883242,1922318
2,63,1811555,1811579,1898260,1803163,1804647,1840391,1870552
2,64,1389236,1389266,1414220,1883433,1789331,1791001,1826662
2,65,1407451,1407475,1405839,1402532,1867893,1774686,1776761
2,66,1390865,1390899,1381541,1393059,1389902,1850730,1758649
2,67,1400459,1400486,1423561,1367316,1379412,1376207,1832245
2,68,1236376,1236397,1254117,1407347,1351919,1364098,1361047
2,69,1147565,1147582,1161047,1238294,1389792,1335136,1347458
2,70,1097510,1097536,1108505,1144782,1221255,1370786,1317238
2,71,1049175,1049204,1050351,1091436,1127688,1202985,1350392
2,72,1010549,1010575,1021293,1032476,1073478,1109174,1183338
2,73,949097,949119,955663,1002064,1013648,1053964,1089183
2,74,927863,927902,927168,935657,981819,993220,1032934
2,75,899069,899118,906215,905706,914717,959933,971263
2,76,823266,823310,828132,882889,883089,891909,936270
2,77,823446,823499,818306,804307,858356,858578,867417
2,78,797665,797715,799410,792305,779426,831820,832296
2,79,791961,792028,781029,771137,765134,752584,803512
2,80,764952,765013,770510,750281,741646,735913,724040
2,81,717995,718062,716534,736838,718324,710017,704919
2,82,698438,698526,695545,681520,701905,684193,676658
2,83,654978,655059,658442,657400,645144,664442,648016
2,84,612590,612685,611339,617782,617909,606278,624921
2,85,577904,578015,577353,568684,576049,576128,565705
2,86,521091,521192,526155,532096,525354,532248,532762
2,87,463105,463206,467575,479814,486706,480494,487380
2,88,423183,423293,420437,421484,434001,440357,435171
2,89,361309,361429,365732,373960,376615,387915,394150
2,90,298615,298710,306925,320856,329447,332066,342495
2,91,241188,241302,240152,264951,278572,285972,288866
2,92,200317,200397,205379,203922,226170,238106,244659
2,93,157941,158024,158881,171165,171179,189749,200353
2,94,125918,125984,126947,129530,140916,141196,156525
2,95,98766,98825,99341,101448,104220,113692,114300
2,96,73799,73856,75139,77458,79997,82067,89949
2,97,53582,53605,54118,57164,59557,61693,63252
2,98,36641,36675,37533,40110,42876,44703,46536
2,99,26193,26214,26074,27034,29321,31378,32791
2,100,44202,44246,45058,47557,50684,54379,58468
2,999,156964212,156967973,157257573,158426997,159583505,160756163,161920569
