father,son
67.2,66.0
68.4,66.5
67.6,66.4
67.6,66.3
68.5,66.3
70.0,66.6
61.1,66.8
62.7,67.5
64.3,67.2
64.1,66.8
63.7,67.3
64.7,66.8
64.7,66.9
68.0,68.1
64.6,63.6
66.1,63.2
65.3,65.7
69.7,67.2
65.3,67.4
65.5,67.6
66.1,67.2
66.2,67.1
66.0,66.8
66.0,67.1
65.9,66.9
67.1,66.8
67.0,67.0
67.4,67.7
67.4,67.6
67.3,67.7
68.3,67.3
68.3,67.0
67.6,67.0
68.2,67.1
69.1,67.2
68.8,67.5
70.5,67.7
70.0,66.9
69.5,67.0
61.5,67.7
62.9,68.5
64.1,67.9
63.9,67.8
65.1,68.3
64.6,68.2
65.9,68.6
66.2,67.8
65.7,67.9
66.1,67.7
66.3,68.0
67.2,68.1
66.9,67.8
66.9,68.1
66.6,68.2
67.2,68.6
67.1,68.3
67.9,68.4
67.9,68.6
67.8,68.3
67.9,67.9
68.6,67.7
68.6,68.4
69.0,68.1
69.0,68.0
69.1,68.2
68.5,68.1
70.2,68.5
69.8,68.6
69.9,67.7
71.5,68.7
72.4,68.6
71.9,68.4
61.0,69.1
63.0,69.4
64.6,69.5
65.4,69.1
64.8,69.6
65.5,69.4
65.6,69.2
66.1,68.8
67.4,69.1
66.6,69.0
67.4,69.1
67.2,69.1
68.2,68.7
67.9,69.0
68.0,69.0
67.7,69.2
68.9,68.8
68.7,68.7
69.1,69.0
68.8,69.3
68.8,69.4
69.3,68.9
69.6,69.3
69.8,69.6
70.2,69.4
70.1,69.0
71.1,69.5
71.4,68.7
71.8,69.2
64.4,70.4
65.2,70.1
66.1,70.4
65.8,70.0
65.5,69.8
66.7,70.4
67.2,70.0
67.2,70.3
68.1,69.9
67.9,70.7
68.2,70.3
69.3,69.7
68.8,70.3
69.2,70.0
68.7,69.7
69.5,70.2
70.0,70.0
69.7,70.3
70.2,70.4
70.8,69.8
70.9,69.8
71.3,70.5
72.3,70.0
72.8,70.6
64.4,71.1
64.9,71.2
65.8,71.0
67.4,70.9
67.4,70.8
67.9,71.5
67.9,71.6
68.5,70.8
67.6,71.0
69.4,71.6
69.3,71.1
69.5,71.5
70.2,71.4
70.0,71.5
69.8,71.0
69.6,71.6
71.5,71.4
72.2,71.2
72.4,70.9
72.5,71.5
64.7,72.4
66.8,72.6
67.8,71.8
68.2,72.0
69.2,72.0
68.9,72.4
70.1,71.9
70.1,72.1
71.0,72.6
71.4,72.5
72.0,71.8
72.7,72.6
68.0,73.1
69.0,73.2
68.9,73.4
69.6,73.4
71.2,73.7
72.0,72.8
72.9,73.0
65.9,74.7
68.5,73.9
70.7,74.4
72.3,74.0
72.6,73.9
68.8,75.7
73.5,76.1
70.1,78.2
67.9,61.9
64.7,69.9
60.8,62.3
74.9,71.4
70.6,71.6
60.9,65.5
65.3,71.9
71.4,71.2
71.7,64.5
62.7,65.3
71.4,69.6
66.6,65.1
67.2,61.0
62.5,63.1
64.9,63.6
66.9,63.5
62.4,63.8
63.6,64.2
65.4,64.7
65.0,64.1
66.4,64.4
66.7,64.6
59.5,64.8
63.0,65.2
64.1,65.6
64.1,65.6
64.5,64.9
65.2,65.6
66.3,65.7
66.0,65.6
66.8,65.1
68.2,64.9
68.7,65.7
61.3,66.5
63.3,66.2
63.9,65.9
64.1,66.3
64.8,66.3
64.6,66.2
66.2,66.1
66.5,66.2
66.4,65.8
67.3,66.6
67.4,66.5
67.3,66.3
67.7,66.5
68.4,66.3
67.8,65.9
69.3,66.6
69.7,66.6
60.0,67.3
62.1,67.4
63.6,67.5
63.8,66.9
64.5,67.1
64.7,67.0
65.4,66.9
65.1,68.1
69.3,67.5
67.7,63.0
64.9,67.4
69.5,68.8
65.1,66.9
65.0,67.3
65.6,67.2
65.9,67.1
65.7,67.1
65.9,67.2
65.9,66.7
67.4,66.8
66.5,67.4
67.4,67.4
67.2,67.0
67.3,67.4
68.1,66.9
68.0,66.9
68.0,66.8
68.4,66.8
68.8,67.2
69.5,67.5
70.2,67.7
69.7,67.1
70.2,67.6
61.1,68.0
62.7,68.7
64.3,68.4
64.3,68.0
65.0,68.6
64.8,68.5
66.2,67.8
66.1,68.1
66.4,68.2
66.2,68.5
65.9,68.6
67.0,68.7
67.5,68.4
66.7,68.5
66.7,68.6
67.3,67.9
67.1,68.0
67.8,68.0
68.4,68.6
67.7,68.1
68.1,67.9
67.7,68.6
69.0,67.9
69.2,68.6
69.3,68.7
69.3,68.4
68.8,68.2
69.6,68.3
69.6,68.1
69.9,67.8
70.6,68.2
72.3,68.0
71.6,68.0
72.9,68.1
63.3,69.2
64.3,69.2
65.1,68.9
65.2,69.3
65.9,69.5
66.0,69.0
65.6,69.3
65.8,69.6
66.9,69.4
67.0,69.0
67.4,69.3
67.9,69.1
67.8,69.3
68.4,69.3
68.3,68.7
68.4,69.5
68.7,69.5
69.0,68.9
69.3,68.8
68.8,69.4
68.9,68.8
69.8,69.1
69.7,69.2
70.4,69.3
70.3,68.8
71.0,69.1
71.3,69.4
72.0,68.7
63.3,70.4
64.9,70.5
65.7,70.1
66.1,69.8
66.5,70.3
66.1,70.3
66.7,69.7
67.1,70.1
67.6,70.4
68.2,69.9
68.3,69.8
68.1,69.9
69.2,70.3
69.2,70.2
68.5,70.4
68.8,70.4
69.7,70.7
69.9,69.7
70.5,70.5
71.2,70.5
70.6,70.5
70.5,70.5
72.4,70.3
73.2,70.3
64.1,71.4
64.6,71.0
65.7,71.6
67.1,70.9
66.8,71.4
68.4,71.5
68.3,71.2
68.3,71.6
68.4,71.6
68.7,71.3
68.7,71.1
69.0,71.5
70.2,71.0
69.9,71.5
70.2,70.9
70.2,71.4
71.4,71.3
70.7,71.2
72.4,71.5
73.0,70.8
64.7,72.7
67.1,72.0
67.8,72.3
68.4,72.2
69.2,72.4
68.6,72.0
69.9,71.8
70.2,72.5
70.5,72.6
71.0,71.9
71.8,72.6
72.8,72.4
68.0,73.1
67.8,73.6
69.3,73.3
70.5,73.1
71.4,73.7
72.3,73.6
71.9,72.9
64.6,73.9
67.8,74.3
69.9,73.9
70.9,74.2
72.7,74.5
69.0,75.1
72.4,76.4
69.1,78.4
70.2,61.2
72.4,72.6
59.6,64.9
73.3,73.0
68.1,71.8
63.2,65.3
66.0,60.9
71.5,72.1
68.1,71.0
65.3,61.7
70.4,67.5
68.4,64.4
61.9,63.3
65.0,63.5
66.2,63.7
59.5,63.9
62.8,63.9
63.9,63.9
64.6,64.1
65.6,64.7
66.3,64.4
70.6,63.9
62.1,64.8
64.4,65.3
64.4,65.2
64.9,65.5
65.3,65.2
65.2,65.4
66.1,65.6
66.1,64.7
67.4,64.8
67.8,65.6
70.3,65.4
63.2,66.5
63.7,65.7
64.1,66.1
64.7,66.3
65.1,66.6
65.9,66.4
65.7,66.5
66.0,66.3
67.3,66.4
66.7,66.3
66.6,66.1
66.8,66.5
68.2,66.3
67.5,66.1
68.4,65.9
69.1,65.7
70.8,66.1
61.7,67.6
63.0,67.4
64.3,67.0
63.9,67.2
65.5,67.2
64.7,67.4
64.7,67.4
67.5,68.2
66.8,62.7
65.0,66.3
69.4,65.7
63.7,68.4
64.6,67.5
66.0,67.2
66.0,67.2
66.5,67.5
66.3,66.9
65.7,67.7
66.9,67.0
66.7,66.7
66.5,66.8
67.1,67.4
67.0,66.9
67.6,67.5
67.6,66.9
67.5,67.0
68.1,66.9
68.6,67.0
68.5,67.1
69.2,67.5
69.8,67.5
69.9,67.3
70.5,67.6
62.8,67.8
63.2,68.1
64.4,68.5
64.3,68.6
64.7,67.9
64.7,68.6
66.0,68.2
65.6,68.3
65.8,68.2
65.9,68.2
66.6,68.2
66.8,68.6
66.8,68.3
67.2,68.7
67.1,68.5
66.9,67.7
68.0,68.0
68.0,67.8
68.3,68.1
68.3,68.6
68.2,68.2
68.5,68.2
68.5,68.2
69.1,68.1
69.2,68.1
69.3,68.5
69.4,68.4
70.3,68.2
69.7,67.7
70.5,67.9
71.3,68.3
72.2,68.3
72.3,68.3
62.9,69.6
63.9,68.7
64.6,68.9
65.5,68.8
65.9,69.1
66.3,69.0
65.8,69.0
66.5,68.7
67.3,69.5
67.4,69.1
67.1,69.1
68.5,69.6
67.7,69.4
68.1,69.2
67.6,68.8
67.8,69.0
69.3,69.5
69.1,69.6
68.7,69.4
69.0,69.6
68.9,69.4
68.8,68.9
69.9,68.7
70.5,69.3
70.0,68.7
69.8,68.8
71.4,69.5
71.1,69.7
72.7,69.7
65.3,70.5
66.0,70.0
65.5,70.6
65.6,70.5
65.9,70.0
67.1,69.9
66.9,70.5
67.9,69.9
67.7,69.7
67.5,70.6
68.0,70.2
68.8,70.3
69.4,70.2
68.6,70.5
69.1,70.5
70.5,70.2
69.9,70.0
70.0,70.2
69.6,70.2
71.0,70.0
70.6,70.4
71.5,70.4
71.6,70.2
73.9,70.2
65.0,70.7
66.3,71.5
65.9,71.4
66.9,71.2
67.2,70.9
68.1,71.3
67.6,71.4
67.6,71.2
69.4,71.2
68.9,71.2
69.1,71.0
69.8,71.4
70.0,71.2
69.6,71.6
70.3,71.3
70.7,71.5
70.9,70.9
72.5,71.5
73.0,71.1
74.4,70.9
67.4,72.7
66.5,71.8
68.0,72.6
68.8,72.5
69.3,71.9
70.3,72.2
70.2,72.6
70.8,72.3
70.7,72.1
72.4,72.3
72.4,72.1
67.2,72.8
67.8,72.8
68.9,73.5
70.4,73.7
71.2,72.8
71.4,73.4
71.7,73.0
72.6,73.2
67.6,74.5
68.6,73.8
71.0,73.8
72.0,73.8
75.2,73.8
73.1,75.6
69.9,77.2
65.5,60.1
72.6,76.8
72.2,66.7
63.2,58.8
73.3,67.9
65.8,61.0
67.7,59.8
67.0,70.8
71.3,68.3
71.8,69.3
70.7,69.3
70.3,67.0
